放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-06,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-06,05:20,THE TIME，🈑🈓広末涼子の復帰公演舞台裏！カメラの前で語った再出発への思い,NHK職員が番組出演者から性被害も異動させず▽なぜ相次ぐ警官の発砲▽被災の子どもに笑顔を！▽進化系推し活ビジネス▽全英制覇の桑木志帆生出演▽田中みな実祝福に笑顔
札幌,1 HBC,2026-08-06,08:00,ラヴィット！福原遥&細田佳央太が参戦!風間俊介プレゼンツ5つの画像が表す有名人は?🈑,福原遥&細田佳央太が参戦!▼風間俊介プレゼンツ「5★スタークイズ」5つの画像が表す有名人は?▼あなたはやっちゃう派?やらない派?どちらが多い?価値観2択クイズ!
札幌,1 HBC,2026-08-06,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-06,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-08-06,11:20,3分クッキング🈑【かつおのカレー竜田揚げ】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-06,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-08-06,11:55,ひるおび🈑,その日一番の気になるニュースをかみ砕いて解説 生放送ならではの筋書きのない展開で恵俊彰があなたの“知りたい”に全力で応えます！！
札幌,1 HBC,2026-08-06,13:55,ゴゴスマ,過酷な暑さ 熊本断水の復旧状況は 台風13号被災地影響か▼トリプル台風発生…台風15号列島接近も？暑さ戻る？お盆の天気 🈀(予定)
札幌,1 HBC,2026-08-06,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-08-06,16:50,今日ドキッ！🈢【夏休みの水族館に密着！多忙なイルカ飼育員に東峰アナ1日弟子入り】,新千歳空港グルメの大行列ベタ＆限定レア▽列車と車の事故多発！鳴かずの踏切の危険性▽男児が7年かけて伸ばした髪…ウィッグに提供する思い▽週末の暑さはどうなる？
札幌,1 HBC,2026-08-06,19:00,この歌詞が刺さった！グッとフレーズ★大泉洋人生の名曲★夏に心アツくさせる名歌詞🈑,ミセス・ゆず・ユーミン・大塚愛・あいみょん…夏に心をアツくさせる名歌詞TOP30！▽大泉 洋のつらい時代を支えたのはあの名曲▽玉屋2060%語る倍倍FIG...
札幌,1 HBC,2026-08-06,22:00,櫻井・有吉THE夜会🈑芸能人の豪邸&美ボディの夜会,"天才子役・寺田心がムキムキ高校生になって大会に出場！
RIKACO・荒川が、軽井沢に住む大物芸能人の大豪邸に潜入！
浅田舞・AYAのストイック生活も！"
札幌,1 HBC,2026-08-06,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-06,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,1 HBC,2026-08-06,23:56,スーパーの裏でヤニ吸うふたり ♯5🈑,5本目「スーパーの裏でかけるふたり」
札幌,2 NHKEテレ..,2026-08-06,05:30,しあわせ気分のスペイン語（18）有機レストランを訪ねる,スペイン北西部のガリシア地方。豊かな大自然に生きる人々の暮らしに密着しながら、初歩的な会話を学ぶ新シリーズ。前園真聖さんと一緒にしあわせになるヒントを探そう！
札幌,2 NHKEテレ..,2026-08-06,05:50,NHK高校講座 日本史探究 日本史で探究しよう！🈑,日本史を探究する新番組！第1回はタレント秋元真夏が「日本の教育」を探究！江戸と明治、教育の違いは？義務教育が定着したのはいつ？生徒とのかけあいもお楽しみに！
札幌,2 NHKEテレ..,2026-08-06,06:10,きょうの健康 これで解消！耳の不快な症状「中耳炎」🈖🈑🈞,細菌が鼓膜の奥の中耳に入って痛みや発熱などが起こる中耳炎。子どもの病気と思われがちだが大人がかかることも多い。さまざまなタイプの中耳炎の最新治療を紹介する。
札幌,2 NHKEテレ..,2026-08-06,06:25,テレビ体操🈑,【出演】岡本美佳，舘野伶奈，吉江晴菜，新井庸太，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-08-06,06:35,みんなのうた「WAになっておどろう 〜イレ アイエ〜」,90年代／「WAになっておどろう 〜イレ アイエ〜」うた：AGHARTA（1997年）
札幌,2 NHKEテレ..,2026-08-06,06:40,プチプチ・アニメ ぽぽりす＆フレンズ「また、あえたね！」,ぽぽりすのお店は、森のなかまがあつまる人気のカフェ。あたたかいお茶とおいしいスイーツでおもてなし。ここでは、うれしいことや困ったこともみんなで分かち合います。
札幌,2 NHKEテレ..,2026-08-06,06:45,ピタゴラスイッチ▽紙コップコップ暗号 お母さんにお願いしたいこと🈑,「紙コップコップ暗号」お母さんといっしょに、たくさんとりたいな。「フレーミー スポッティーと赤ちゃん」ほか。
