放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-05,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-05,05:20,THE TIME，🈑🈓地震発生直後に誕生した命は今？断水続く中…広がる支援の輪,モナキ生出演！“朝ラー”に挑戦▽東野圭吾さん新作発売にファンは▽高木美帆さんに国民栄誉賞▽サイクロスポラ症とは▽続々登場「冷やし麻辣湯」▽二宮和也＆川口春奈！
札幌,1 HBC,2026-08-05,08:00,ラヴィット！私物センス無し王は誰だ？★好評グルメトレイン！銀だこ人気メニューは？,私物センス番外編！センスがないのは？ロコディ兎VSきょん▼電車が運ぶ料理を当てろ！グルメトレイン夏休みSP▼視聴者参加で勝敗が決まる！究極の二択に説得でき...
札幌,1 HBC,2026-08-05,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-05,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-08-05,11:20,3分クッキング🈑【とうもろこしとにらのチヂミ】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-05,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-08-05,11:55,ひるおび🈑,その日一番の気になるニュースをかみ砕いて解説 生放送ならではの筋書きのない展開で恵俊彰があなたの“知りたい”に全力で応えます！！
札幌,1 HBC,2026-08-05,13:55,ゴゴスマ,発生8日目 熊本39℃危険な暑さ 台風13号の影響も…断水続く被災地の今▼元ジャンポケ斉藤被告 論告求刑…現場生中継 🈀(予定)
札幌,1 HBC,2026-08-05,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-08-05,16:50,今日ドキッ！🈢【海外旅行の土産から見えた夏の思い出＆人間模様…新千歳空港で調査】,札幌市内350か所！「協力井戸」を知ってますか？災害時に無償で水を供給▽甲子園開幕！札幌日大が登場▽帯広動物園・キリンのひづめを削るプロ▽暑さ本格化…天気詳しく
札幌,1 HBC,2026-08-05,19:00,出張！がっちりマンデー‼in北海道★加藤浩次＆スゴい社長が北海道上陸！㊙儲け方,加藤浩次が！ニトリ・タイミー・GOのスゴい社長が北海道に！北海道で儲ける方法をみなさんと一緒に考える2時間！道内の実はすごい会社公開！お悩みにもズバリ回答！
札幌,1 HBC,2026-08-05,21:00,ニノなのに☆夏の風物詩！花火大会帰り…大渋滞を抜けるのは何が一番早い？レース,夏休みあるある…花火大会帰りの大渋滞！高速vs下道vs自転車で最も早く都内に戻れるのは何？▼鈴木亮平＆赤楚衛ニ参戦！人気俳優なのに本格ドリフトに挑戦！？
札幌,1 HBC,2026-08-05,21:58,フラッシュニュース🈑,最新のニュースをお伝えします。
札幌,1 HBC,2026-08-05,22:00,水曜日のダウンタウン#466🈑,母親の呼び方「ママ」から「おふくろ」へ飛び級したヤツいない説▼怪談に関する説を検証
札幌,1 HBC,2026-08-05,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-05,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,1 HBC,2026-08-05,23:56,ジンギス談！★注目の若手コンビ「9番街レトロ」をダイタク・エバースが大暴露！？,いま勢いに乗る若手コンビ「9番街レトロ」が登場！ダイタク、エバースもVTRで緊急参戦！怒涛の暴露ラッシュにタカトシも大爆笑！
札幌,2 NHKEテレ..,2026-08-05,05:30,しあわせ気分のドイツ語（18）感想を伝える表現,テーマは「ことば×ライフスタイル」。ドイツの若者のリアルな暮らしで交わされる会話から、生きたドイツ語表現を学び、ドイツ流ライフスタイルやその価値観に触れる番組。
札幌,2 NHKEテレ..,2026-08-05,05:50,NHK高校講座 地理探究 地理的な探究をしよう！🈑,世界の地理を探究！謎解きクリエイター松丸亮吾が「お菓子」を切り口に探究！お菓子から見えてくる地球規模の課題とは？高校生とのかけ合いもお楽しみに！
札幌,2 NHKEテレ..,2026-08-05,06:10,きょうの健康 これで解消！耳の不快な症状「外耳炎」🈖🈑🈞,耳の穴から鼓膜まで続く外耳道などに痛みやかゆみが起こる外耳炎。原因の多くは、耳掃除のときにできた小さな傷から侵入した細菌。外耳炎の治療法や正しい耳のケアを紹介。
札幌,2 NHKEテレ..,2026-08-05,06:25,テレビ体操🈑,【出演】鈴木大輔，舘野伶奈，我喜屋佑衣，福島波奈，杉井勇介，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-08-05,06:35,みんなのうた「あさな ゆうな」／「ばぶるばす」,00年代／「あさな ゆうな」うた：城 南海（2009年）／「ばぶるばす」うた：いはたじゅり（2001年）
札幌,2 NHKEテレ..,2026-08-05,06:40,プチプチ・アニメ ぽぽりす＆フレンズ「あこがれのファッションショー」,ぽぽりすのお店は、森のなかまがあつまる人気のカフェ。あたたかいお茶とおいしいスイーツでおもてなし。ここでは、うれしいことや困ったこともみんなで分かち合います。
札幌,2 NHKEテレ..,2026-08-05,06:45,ピタゴラスイッチ▽しわすれをふせぎます🈑,冷蔵庫のしめ忘れ、工具のしまい忘れ、トイレの携帯電話忘れなど、世の中では、いろいろな「しわすれ」がおきています。この「しわすれ」をふせぐための工夫を紹介します。
札幌,2 NHKEテレ..,2026-08-05,06:55,Eテレ0655 水曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-08-05,07:00,The Wakey Show ベストセレクション🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
