放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-10,04:05,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-10,05:20,THE TIME，🈑🈓“トリプル台風”に…台風15号本州直撃へ▽VIVANT＆ドラム,土石流で橋が崩落一時390人が孤立▽ボランティア始動が遅れた背景▽なぜ「花火大会」全国で有料化相次ぐ▽卓球・張本兄妹史上初のアベックV▽福山雅治が原爆の日に
札幌,1 HBC,2026-08-10,08:00,ラヴィット！VIVANT今週は竜星涼が参戦！推しハーゲンダッツ討論＆USJ最新イベント🈑,"▼絶対に行きたくなる！ぼる塾、ゆーづらUSJ初心者がUSJ最新イベントを遊びつくす！
▼あなたもあるはず！推しハーゲンダッツ！4つのフレーバー代表がプレゼ..."
札幌,1 HBC,2026-08-10,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-10,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-08-10,11:20,3分クッキング🈑【うざく】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-10,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-08-10,11:55,ひるおび🈑【台風15号 列島横断か▽お盆休み混雑ピーク▽水泳の授業減少なぜ】,▽台風15号列島横断か 最新進路＆各地への影響は▽お盆休みスタート！混雑ピーク 帰省する？トレンドは▽水泳の授業減少どうして？
札幌,1 HBC,2026-08-10,13:55,ゴゴスマ,様々な事が起こる平日の午後、あらゆるジャンルの関心事を「生」にこだわってMC石井亮次がわかりやすくお届け！
札幌,1 HBC,2026-08-10,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-08-10,16:50,今日ドキッ！🈢【夏休みの子どもたちは公園で何して過ごす？▽週末F戦を鶴岡解説】,ヒグマの襲撃で死亡知床で探る共存の道は▽新施設完成の舞台裏…旭山動物園が夜間営業▽JAF救援隊に密着！お盆のトラブル▽電話で参加♪賞金当たる「ランクイ〜ン」
札幌,1 HBC,2026-08-10,19:00,CDTVライブ！ライブ！🈑🈓★1位の曲だけスペシャル！,★ATEEZ
札幌,1 HBC,2026-08-10,20:55,テレビ×ミセス★びしょ濡れMAX！夏の東京ディズニーリゾート大視察ロケSP！🈑,Mrs. GREEN APPLEが様々なものとコラボするバラエティ★歌って踊って大興奮！ミセスコラボの「サマー・クールオフat東京ディズニーリゾート」を大満喫！
札幌,1 HBC,2026-08-10,22:00,プロフェッショナルランキング★SASUKE泣ける名場面ランキングBEST20🈑,その道を極めたプロによるガチ投票で決定した「本当のランキング」を大発表！★スタジオ大号泣！SASUKEのプロが選ぶ【SASUKE泣ける名場面ランキング】
札幌,1 HBC,2026-08-10,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-10,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,1 HBC,2026-08-10,23:56,コンサドーレイズム,サッカーJ2・北海道コンサドーレ札幌応援番組▽リーグ最新情報や選手監督の素顔に迫るインタビューも▽HBCが“コンサドーレのいま”に迫る
札幌,1 HBC,2026-08-10,23:59,タイトル未定のパキラっしゅ★シーズン2,赤裸々川柳でタイトル未定の本音炸裂！頭が真っ白に！？絶体絶命ピンチの知られざる舞台裏を大告白！▽二条市場では巨大カニ＆極上メロン食べ比べを大満喫！
札幌,2 NHKEテレ..,2026-08-10,05:30,しあわせ気分のイタリア語（18）美しい町を散策する,使うとしあわせな気分になれるイタリア語の表現を楽しく学べる講座。美しいトスカーナの映像や文化特集が盛りだくさんです。
札幌,2 NHKEテレ..,2026-08-10,05:50,浮世絵EDO－LIFE デカいのが心意気？北斎「諸国瀧廻り ろうべんの滝」🈑,北斎が描く豪快な滝。男たちが気持ちよさそうに滝に打たれている。持っているのは、身の丈を超える程長〜い棒のような物。これは一体何？そしてなぜこんなにデカいのか？
札幌,2 NHKEテレ..,2026-08-10,05:55,美の壺 選「京の味 夏」🈑,涼やかな夏を演出する京都の美味。鴨川でいただく華やかな「はも」や、絵画のような川床料理、旧家に伝わる聖護院大根の漬物、夏の情感を表す京菓子まで、京の味を堪能する
札幌,2 NHKEテレ..,2026-08-10,06:25,テレビ体操🈑,【出演】岡本美佳，吉江晴菜，福島波奈，新井庸太，森山雅斗，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-08-10,06:35,みんなのうた「はじめての僕デス」／「passion」,放送開始65年企画！「はじめての僕デス」うた：宮本浩次（1976年）／「passion」うた：宮本浩次（2021年）
札幌,2 NHKEテレ..,2026-08-10,06:40,プチプチ・アニメ 森のレシオ「レシオとジャモン」,氷の世界に住む少女レシオとその友だち、毛むくじゃらのジャモン。ふたりは出かけた先で出会った精霊や不思議な生き物たちから、さまざまなことを学んでゆきます。
