放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-08,04:30,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-08,05:14,HBC番組審議会便り,7月28日開催 第719回番組審議会より
札幌,1 HBC,2026-08-08,05:15,皇室アルバム,『天皇ご一家 那須ご静養』
札幌,1 HBC,2026-08-08,05:30,JNNニュース🈐🈑,最新のニュースをお送りします。
札幌,1 HBC,2026-08-08,05:45,キタコイ★飯田圭織＆牧野真莉愛★廃校・廃線跡地を再生！当別田園住宅プロジェクト🈞,北海道出身の飯田圭織（モーニング娘。OG）が地方創生に取り組むマチや人、企業を紹介！▽ 廃校・廃線跡地を再生！札幌の隣町で北海道らしいライフスタイルが実現！
札幌,1 HBC,2026-08-08,06:15,バナナマンの早起きせっかくグルメ★朝から常連が通うお店の極上朝ご飯をお届け🈕🈑,設楽さんが憧れるような“朝から常連さんが足繁く通うお店の極上朝ごはん”をお届けする新企画！雰囲気抜群のお店供する極上の朝ごはん&常連さんの姿に設楽さんも大興奮！
札幌,1 HBC,2026-08-08,07:00,週刊さんまとマツコ🈖🈑 婚活界の女帝・植草美幸が翔工務店のダメ社員軍団を徹底指導,愛すべきダメ人間たちが集まる謎会社「翔工務店」の独身ダメ社員、犬童と高瀬を婚活のスペシャリスト植草先生が熱血指導！抜き打ち家庭訪問で驚愕の私生活を目撃！どうなる
札幌,1 HBC,2026-08-08,07:27,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-08,07:30,サタプラ🈑試して夏アイス★東京で雲海⁉小野花梨が生中継★猛暑を快適に過ごす裏ワザ,パピコ&パルム&ガリガリくん『夏アイス』オールスター戦★新川優愛&小手伸也『猛暑のピンチ脱出法』★絶景生中継!ホテル椿山荘東京★旬のたこ絶品そうめんレシピ...
札幌,1 HBC,2026-08-08,09:25,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-08,09:30,王様のブランチ🈑 高橋文哉＆櫻井海音＆高橋恭平が生出演▽夏に行きたい栃木・那須！,那須で魚つかみ取りに大興奮＆スープに入った焼きそばを堪能▽バレーボール日本代表・石川真佑の初フォトブック▽絶品餃子イベントを特集▽映画「ブルーロック」
札幌,1 HBC,2026-08-08,11:35,3分クッキング🈑【梅とツナのサラダそうめん】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-08,11:45,JNNニュース🈑,最新のニュースをお伝えします。
札幌,1 HBC,2026-08-08,11:59,グッチーな！【蘭越のお祭りにグッチー参戦！▽女性必見のおでかけスポットにも注目】,グルメ、エンタメ、音楽、最新のトレンドから週末のおでかけスポットまで、「明日でかけたくなる」旬な情報をたっぷりお届けします！
札幌,1 HBC,2026-08-08,13:00,ダイドーグループ日本の祭り『天狗さまの火くぐり〜北海道古平町・琴平神社例大祭〜』,古平町に古くから伝わる奇祭、琴平神社例大祭の天狗の火くぐり。3メートルの高さに燃え盛る火柱を天狗のお面をつけた守護神、猿田彦役の男が危険を顧みずに一気にくぐる。
札幌,1 HBC,2026-08-08,13:54,ガッチャンコHBC★HBCテレビのおすすめ番組,HBCテレビで家族をガッチャンコ★ドラマ・バラエティ・ドキュメンタリー・・・おうち時間は「もんすけ1チャンネル」！HBCテレビのおすすめ番組を紹介します。
札幌,1 HBC,2026-08-08,13:57,ドラマ「TOKYO MER〜走る緊急救命室〜」一挙公開🈞🈑,重大事故、災害、事件の現場に駆けつけ命を救うために危険な現場に勇猛果敢に飛び込んでいく救命救急チーム“TOKYO MER”の活躍を描く物語！
札幌,1 HBC,2026-08-08,14:54,あぐり王国 餃子完成披露パーティーダイジェスト🈞,「あぐり王国北海道NEXT」で開発したオリジナル餃子の完成披露パーティー。北海道食材にこだわった唯一無二の餃子が完成！
札幌,1 HBC,2026-08-08,14:57,“神”映像GP！★遂に！「VIVANT」からアノ俳優が緊急＆初参戦！,TBS夏の新ドラマ全部集合スペシャル！▼KEY TO LITからあのメンバー緊急参戦▼戦慄！爆発する太陽！？▼ウソ！？犬が降る街▼マジ！？ヒトが飛ぶ街
札幌,1 HBC,2026-08-08,15:55,マツコの知らない世界真夏の冷涼SPそうめん無限の可能性／お化け屋敷が凄い！🈞🈖🈑,お米不足の救世主！レシピが劇的進化そうめん簡単アレンジ！夏バテ＆家計を助ける厳選レシピ/2年待ちの伝説製麺所▼お化け屋敷の今が凄い！音響/謎解き/アート＆誓約書
札幌,1 HBC,2026-08-08,17:00,あぐり王国北海道NEXT【堀内美里アナが早朝5時から初のガチ農業体験！】,堀内美里アナウンサーがデイワーカーの一人として、早朝5時から初の農業体験！生産者とともに同じ作業をしたからこそ感じた、苦労ややりがいとは？
札幌,1 HBC,2026-08-08,17:30,報道特集🈑 “数に現れない避難者”も 熊本地震▽大阪・西成と中国 変貌する街,熊本地震で行政から発表される「避難者数」。そこには反映されない“数に現れない避難者”がいる。見えづらい避難者をどう支援するか？▽西成に中国資本 民泊で変貌する街
札幌,1 HBC,2026-08-08,18:50,なみまるくん天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-08,18:55,Sitakke（したっけ）,北海道の女性のためのWEBマガジンSitakke連動番組。道内メディアの編集者やSitakke編集部が北海道で魅力溢れるローカルな人、モノ、場所をお届けします！
札幌,1 HBC,2026-08-08,19:00,THE鬼タイジ【東京サマーランド完全占拠】VIVANT超大物俳優＆M!LK初参戦,今話題！VIVANT完全コラボ！超人気紅白歌手がラスボスに▽M!LKが『好きすぎて滅』で奇跡を起こす！▽VIVANT大物俳優がまさかの降臨！伝説のロック歌手も🈑
札幌,1 HBC,2026-08-08,20:54,いくらかわかる金？鎌倉グルメ旅で暗記クイズ！寝たら減額・軽井沢リラクゼーション旅,鎌倉で黒毛和牛・スイーツ…絶品グルメ満喫！お土産代をかけ澤部が記憶力クイズに挑戦★軽井沢の極上リラクゼーションで寝たら賞金減額！杉山アナは眠気に耐えられる？🈑🈓
札幌,1 HBC,2026-08-08,21:56,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-08,22:00,情報7daysニュースキャスター🈑 熊本・有明が劇的逆転！甲子園で初勝利,有明を被災地から応援！東海大甲府 吹奏楽部もバタバタ!?▼ダブル台風の影響は▼被災地の子どもたち▼寿美花代さんが死去▼変わりゆく警察学校▼ひと夏の思い出…...
札幌,1 HBC,2026-08-08,23:24,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-08,23:30,人生最高レストラン【高橋成美】波乱のペア競技人生…りくりゅう神解説の舞台ウラ🈖🈑,▼浅田真央を見て小学生で決意…ペア転向㊙話▼一度は引退を決意…木原龍一とわずか1年で挑んだソチ五輪㊙話▼超能力が開花!?透視に挑戦▼勝負メシ！ぶっかけうどん
札幌,2 NHKEテレ..,2026-08-08,05:30,NHK高校講座 英語コミュニケーションⅠ できることを伝えよう,さまざまな英語の表現を知って、英語でのコミュニケーションを楽しみましょう！ 出演：鞘師里保 Shizuka Rachel Anderson
札幌,2 NHKEテレ..,2026-08-08,05:50,NHK高校講座 ベーシック英語 気持ちやからだの調子を伝えよう,中学校までの英語のつまずきポイントを基礎からしっかり学べる講座です。今回は、気持ちや体の調子を伝える表現を学びましょう。
札幌,2 NHKEテレ..,2026-08-08,06:00,やさいの時間 選プレミアム ケール🈑,過去の放送から野菜の栽培テクニックを厳選して紹介する選プレミアム。今回はスーパーフードのケール。畑は杉浦太陽＆長沢裕さん、プランターは山口もえさんが挑戦する。
札幌,2 NHKEテレ..,2026-08-08,06:25,テレビ体操🈑,【出演】岡本美佳，舘野伶奈，吉江晴菜，新井庸太，杉井勇介，【ピアノ】細貝柊
札幌,2 NHKEテレ..,2026-08-08,06:35,みんなのうた「パンのマーチ」／「おおブレネリ」,60−70年代／「パンのマーチ」うた：ペギー葉山・東京少年少女合唱隊（1969年）／「おおブレネリ」うた：東京放送児童合唱団（1963年）
札幌,2 NHKEテレ..,2026-08-08,06:40,にほんごであそぼ「暑さ」🈑🈓,書道で学ぶにほんご（青柳美扇）・立体紙切り（辻笙）・ぐうたらちんたら／暑さ、朗読（津田健次郎）、かぞエール、漢字カードバトル、うた「JUMP」
札幌,2 NHKEテレ..,2026-08-08,06:50,えいごであそぼ Meets the World なぞのカケラ▼shape🈑,「まほうつかい」のきゃりーと楽しい仲間たちが えいごでゲームをしたり ダンスやうたをうたってあそぶよ！みんなもいっしょに えいごであそぼう！
札幌,2 NHKEテレ..,2026-08-08,07:00,オハ！よ〜いどん 選 朝の会「マイまくら」 ゲスト：ユーキ・タカシ（超特急）🈑,【夏休み・自由研究SP3】今回の朝の会は自分用の“まくらづくり”。高さ・デザイン、そして持ち運べるように工夫して作ったよ！【ゲスト】超特急・東京ホテイソン
札幌,2 NHKEテレ..,2026-08-08,07:30,ノージーのひらめき工房「おうちをつくろう！」🈑,4〜5歳からの子どもたちに向けた工作・造形あそびの番組です。身の回りの出来事や材料をよく観察し、自分なりのひらめきで自由に作品を生み出す楽しさを伝えます。
札幌,2 NHKEテレ..,2026-08-08,07:45,おかあさんといっしょ 土曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-08-08,08:10,アニメ「ブルーイ」 まほうのはね／スカッシュ／びようしごっこ🈔🈑,元気いっぱい！好奇心旺盛なお姉さんブルーイと妹ビンゴの手にかかれば、ささやかな日常がワクワクの大冒険に！オーストラリアン・キャトル・ドッグの仲よし家族の物語。
札幌,2 NHKEテレ..,2026-08-08,08:35,アニメ おさるのジョージ「かがみよかがみ」「自動ストロー」🈔🈑,世界中で85年以上にわたり、世代を超えて親しまれてきた人気絵本「ひとまねこざる」「おさるのジョージ」が原作のテレビアニメシリーズ。
札幌,2 NHKEテレ..,2026-08-08,09:00,アニメ おしりたんてい（104）ププッ ワンコロしょくどう グルメじけんぼ🈑🈓,「フーム、においますね」レディーにやさしくスイートポテトがだいすきなめいたんてい・おしりたんていが、じょしゅのブラウンとともに、どんなじけんもププッとかいけつ！
札幌,2 NHKEテレ..,2026-08-08,09:20,アイラブみー くすぐられるのが、じつはキライ？🈑,5歳のこどもが「自分」を大切にすることを学ぶ冒険アニメーション▽声の出演・満島ひかり▽音楽・ハンバートハンバート▽脚本・竹村武司▽キャラクターデザイン・obak
札幌,2 NHKEテレ..,2026-08-08,09:30,ミニアニメ ねずみくんのチョッキ「ねずみくんだーれだ？」,おともだちが次々とやってきて、「だーれだ！」とねずみくんを驚かせます。でもねずみくんは「わかんな〜い」。今度はねずみくんが誰かを驚かせようと試みますが…。
札幌,2 NHKEテレ..,2026-08-08,09:35,ゴー！ゴー！キッチン戦隊クックルン「キッチュ・キッチンウエア」🈑🈓,アニメと実写が連動する食育エンターテインメント番組。ヨモギ・クリン・マメコは父の肉体を魔法使いに乗っ取られたうえ、地球侵攻作戦を進める宇宙怪人たちと戦うことに。
