放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-23,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-23,05:20,THE TIME，🈑🈓アジア大会競泳男子17歳の新星・小島が金▽台風で皇居の橋冠水,体操・杉原愛子が日本女子初の金！現役復帰後の快挙▽バレー女子は中国と激戦▽3歳死亡事故で逮捕の68歳男「当日朝にワインや焼酎」▽Number＿iが特殊能力...
札幌,1 HBC,2026-09-23,08:00,ラヴィット！はま寿司人気メニューでグルメトレイン＆アドリブで回避！即興の達人,"▼全国ご当地菓子が通過！グルメトレイン
▼よくある困った状況をアドリブで回避！即興の達人に河合郁人も参戦🈑"
札幌,1 HBC,2026-09-23,09:55,佐世保発テレショップ この時期にぴったりの季節商品や今だけの期間限定商品がお得,佐世保の自社スタジオから生放送でお届けするテレビショッピング！今だけの期間限定商品をお得に手にする大チャンス！さらに生放送だからできる旬な商品をご紹介します！
札幌,1 HBC,2026-09-23,10:50,ザ・ロングセラー傑作選＃3〜北海道の老舗・飲食店…長年愛されるワケとは？〜🈞,北海道内の長年愛されるお店に密着。そこにはどんな秘密や歴史が隠されているのか？今回は立ち退きの危機を乗り越えた絶品タンメン＆120年超の函館・すき焼き店が登場
札幌,1 HBC,2026-09-23,11:20,3分クッキング🈑【サーモンフライ レモンタルタルソース】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-09-23,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-09-23,11:55,ひるおび🈑【アジア大会・現地中継 日本選手のメダルは？】,アジア大会・現地中継 日本選手のメダルは？
札幌,1 HBC,2026-09-23,12:30,アジア大会 体操男子団体決勝 体操王国ニッポン12年ぶり団体金メダルへ！ほか🈑🈓,体操王国ニッポン12年ぶり団体金メダルへ！東京五輪金・橋本大輝＆パリ五輪金・岡慎之助のWエースが登場！事実上の世界一決定戦、永遠のライバル中国との頂上決戦に挑む
札幌,1 HBC,2026-09-23,17:00,アジア大会  競泳界のヒロイン 池江璃花子 100mバタフライで登場！  🈑🈓,日本競泳界のヒロイン・池江璃花子、8年ぶりのアジア制覇へ！進化を続ける35歳・鈴木聡美2つ目のメダルなるか?トビウオジャパン更なるメダルラッシュなるか！？
札幌,1 HBC,2026-09-23,18:59,アジア大会 愛知・名古屋🈑🈓,"32年ぶりの日本開催「アジア大会 愛知・名古屋」
日本のトップアスリートたちが地元の大声援を受け、アジア48億人の頂点へ！"
札幌,1 HBC,2026-09-23,19:00,アジア大会 サッカー男子 予選 日本vsタイ 次のW杯を担う若きサムライが躍動 ほか🈑🈓,次のW杯を担う若きサムライが16年ぶりの金メダルへ、開幕2連勝！予選1位突破をかけタイとの戦いに挑む！さらに60年ぶり金メダルへ、卓球女子団体は準決勝で宿...
札幌,1 HBC,2026-09-23,23:27,HBC天気予報,"道内の天気予報をお伝えします。
dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。"
札幌,1 HBC,2026-09-23,23:30,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-09-23,05:30,しあわせ気分のドイツ語（24）復習しよう！,テーマは「ことば×ライフスタイル」。ドイツの若者のリアルな暮らしで交わされる会話から、生きたドイツ語表現を学び、ドイツ流ライフスタイルやその価値観に触れる番組。
札幌,2 NHKEテレ..,2026-09-23,05:50,NHK高校講座 地理探究 世界と日本の人口問題🈑,世界の地理を探究する番組！謎解きクリエイター松丸亮吾と一緒に「世界と日本の人口問題」を探究！25年後の日本の人口ピラミッドは？少子高齢化への世界の取り組みとは？
札幌,2 NHKEテレ..,2026-09-23,06:10,きょうの健康 あきらめないで！皮膚の自己免疫疾患「乾癬（かんせん）」🈖🈑,乾せんは、免疫の異常によって、すねやひざなどに赤い発疹ができる皮膚病。ステロイド外用薬、紫外線療法などのほか、最近登場した生物学的製剤など治療の最新情報を紹介。
札幌,2 NHKEテレ..,2026-09-23,06:25,テレビ体操🈑,【出演】鈴木大輔，舘野伶奈，我喜屋佑衣，福島波奈，杉井勇介，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-09-23,06:35,みんなのうた「あさな ゆうな」／「ばぶるばす」,00年代／「あさな ゆうな」うた：城 南海（2009年）／「ばぶるばす」うた：いはたじゅり（2001年）
札幌,2 NHKEテレ..,2026-09-23,06:40,プチプチ・アニメ ニャッキ！「芸術とは？」,マイペースだけど好奇心いっぱいのニャッキ。街のいたるところに出没しては、大冒険をくりひろげ、大ピンチ！なんてこともしばしば。今日はどんな冒険が待っているかな？
札幌,2 NHKEテレ..,2026-09-23,06:45,ピタゴラスイッチ▽しいたけ成長 ▽ミニのすけ＋ミニのすけのつくりかた🈑,「ミニのすけ＋ミニのすけのつくり方」「新しい生物」「たこたこピー」「しいたけ成長」など、楽しいコーナーが、つぎつぎに登場！
札幌,2 NHKEテレ..,2026-09-23,06:55,Eテレ0655 水曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-09-23,07:00,The Wakey Show ベストセレクション🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-09-23,07:20,アニメ はなかっぱ「カギなくしちゃった」「はなかっぱのポケット」🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
札幌,2 NHKEテレ..,2026-09-23,07:30,みいつけた！ 水曜日🈑,4歳ごろから楽しみながら学べる教育的エンターテインメント番組。友達と遊ぶ楽しさ、命の不思議、できる喜び等さまざまな「発見」を通して楽しむことができる番組です。
札幌,2 NHKEテレ..,2026-09-23,07:45,おかあさんといっしょ 水曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-09-23,08:10,いないいないばあっ！ 水曜日🈑,どうぶつがたくさん登場するよ。にわとり、うさぎ、くま、きつね、サイ…。好きな動物はいるかな？ぽぅぽ場所千秋楽！優勝するのは誰だ？▼ピカピカブ〜！など。
札幌,2 NHKEテレ..,2026-09-23,08:25,アニメ おじゃる丸「電ボ、うすいを短く紹介する」🈑,千年前のヘイアンチョウから月光町にやってきたおじゃる丸が、小学生のカズマや町の人々、あとを追ってきた子鬼（おに）たちとゆかいな騒動（そうどう）をまきおこします。
札幌,2 NHKEテレ..,2026-09-23,08:35,デザインあneo ポッポー🈑,つくる／ロボメカ男／だし／集合！／まえうしろうえしたよこ／パラメーター
札幌,2 NHKEテレ..,2026-09-23,08:45,プチプチ・アニメ 白い本「遊園地」,真っ白な表紙を開けば、色んなものが飛び出します。カラフルなジャングルの動物たち、ビュンと走り抜けるスポーツカー。次はどの本を開きますか？
札幌,2 NHKEテレ..,2026-09-23,08:50,てれび絵本「つんつくせんせいかめにのる」（2）🈑,“竜宮城（りゅうぐうじょう）に、案内してくれる”と、かんちがいしているつんつくせんせい。果たして、せんせいの思い通りになるのでしょうか？
札幌,2 NHKEテレ..,2026-09-23,08:55,みんなのうた「Umm」／「あっ！」,「Umm」うた：sumika、アニメ：かずきおえかき／「あっ！」うた：YONA YONA WEEKENDERS、アニメ：いよりさき
札幌,2 NHKEテレ..,2026-09-23,09:00,アニメ おじゃる丸 10年スペシャル 満月ロード危機一髪🈑,いつものように子鬼トリオと追いかけっこをしていたおじゃる丸は、ヘイアンチョウと月光町をつなぐ「満月ロード」消滅の危機を知り…。放送10年を記念したSPアニメ。
札幌,2 NHKEテレ..,2026-09-23,09:50,ピタゴラスイッチ▽ビーだま・ビーすけ4 おどろきの仕組み解説しますぞ🈑🈞,大人気の「ビーだま・ビーすけ」。衝撃と興奮の冒険物語は、装置のどんな仕組みから生まれているのか？物語を支える装置の秘密に迫るピタゴラスイッチの特別番組！
札幌,2 NHKEテレ..,2026-09-23,10:10,アニメまとめPR 10月スタート！注目の4番組🈑,10月から放送スタート！この秋、注目のNHKアニメ「恐怖コレクター」「マロニエ王国の七人の騎士」「パンどろぼう」「アオアシ Season2」の見どころを紹介！
