放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-20,04:45,ライフライン「なんという幸せ、なんという楽しさ」,茨城県小美玉市にある恵泉キリスト教会・小美玉チャペルの牧師、金野正樹さんを紹介します。
札幌,1 HBC,2026-09-20,05:15,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-20,05:45,日本のチカラ 海を渡る みこし 〜塩竈（しおがま）みなと祭物語〜🈑,宮城県塩釜市のみなと祭。亡き父に憧れ、みこしを担ぐ佐藤太一さんの背中を、幼い息子たちが追いかけます。今年は、みこしを乗せて海を渡る御座船が老朽化のため引退で…
札幌,1 HBC,2026-09-20,06:15,ハイグレードS,北のハイグレード食品を紹介する「ハイグレードS」商品はHBCショップで限定販売中！
札幌,1 HBC,2026-09-20,06:30,北のビジネス最前線,一貫生産とPMIの統合効果を活かし多彩な製品を展開。北海道から全国へ、次世代へと受け継がれる「ものづくり＝快適づくり」を掲げる道内企業の独自戦略に迫ります。
札幌,1 HBC,2026-09-20,06:45,JNNニュース🈐,最新のニュースをお伝えします。
札幌,1 HBC,2026-09-20,07:00,健康カプセル！ゲンキの時間🈖🈑カギは足腰・血管・脳 健康長寿に学ぶゲンキの秘訣,人生100年時代、いつまでも健康で長生きしたいものですよね。今回はゲンキなシニアの暮らしぶりを参考に健康長寿の秘訣を専門医に教えてもらいます。
札幌,1 HBC,2026-09-20,07:30,がっちりマンデー‼GO川鍋タイミー小川も絶賛！番組地方イベントで発掘した有望な会社,🈑がっちり地方ピッチイベントでみつけたスゴい会社が、さらにトンデもなく成長!?究極のお野菜!?水耕栽培ユニットで数億円！冷凍幼児食で30億円！最終試食審査...
札幌,1 HBC,2026-09-20,08:00,サンデーモーニング🈑台風最新情報▽“連休直撃”物価高の行方▽高市改造内閣狙いは？,AIで「人類滅亡」シナリオ▽沖縄県知事選と軍事的合理性▽自民党人事で見えた高市政権“国会戦略”と次期総裁選“構図”▽「物価の番人」利上げ加速も…なぜまた円安に？
札幌,1 HBC,2026-09-20,09:54,サンデー・ジャポン 最新…台風情報▽「内閣改造」ウラ側！自民党“TT兄弟”の本音,連休に台風接近…関東で“警報級大雨”？▽timeleszメンバー逮捕▽「内閣改造」ウラ側！自民党“TT兄弟”ホンネ▽緊急生出演！「VIVANT」チョッキー...
札幌,1 HBC,2026-09-20,11:23,アジア大会×VIVANT〜新たな別班候補はだれだ？〜🈑,"9月16日放送開始『アジア大会愛知・名古屋』
今回紹介する新たな別班候補は・・・佐藤淑乃"
札幌,1 HBC,2026-09-20,11:29,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
