放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-17,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-17,05:20,THE TIME，🈑🈓台風25号発生へ本州＆連休直撃か…突然のキャンセルどうする？,記録的長雨の影響は食卓にも野菜が高騰▽「紛失防止タグ」悪用か▽高校教師が生徒に空き巣指南か▽進化するモンブラン▽二宮和也＆石川佳純が直撃▽M!LK最新情報！
札幌,1 HBC,2026-09-17,08:00,ラヴィット！浜野謙太が「仲良くなりたい！」連休にオススメ日帰り大洗旅▼新常識Q🈑,週末の連休にオススメ!浜野謙太が木曜メンバーと仲良くなるため茨城県大洗町で大奮闘!大人気水族館&地元の絶品海鮮グルメ▼変わったこと知ってる?新常識アップデ...
札幌,1 HBC,2026-09-17,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-17,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-09-17,11:20,3分クッキング🈑【えびとチンゲンサイの甘酢あん】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-09-17,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-09-17,11:55,ひるおび🈑【台風25号・連休直撃か▽中村ゆりさんの訃報 直腸がん早期発見には】,記録的日照不足で不作 台風25号・連休直撃か▽中村ゆりさんの訃報 直腸がん早期発見には ▽高市改造内閣・速報
札幌,1 HBC,2026-09-17,13:55,ゴゴスマ,連休直撃へ 前線×台風どうなる？気になる最新進路は▼ネイリストの妊婦殺害 元交際相手は何を語る▼速報！高市改造内閣 🈀(予定)
札幌,1 HBC,2026-09-17,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-09-17,16:50,今日ドキッ！🈢【北海道の海でフグ豊漁高級食材で商機つかめ▽公開！来年のおせち】,歴史ロマン！旧日本郵船小樽支店が120周年祝い週末にイベント▽マチの未来…もみじ台再整備の行方▽お天気は児玉予報士が解説▽きょうもやりますランクイーン！
札幌,1 HBC,2026-09-17,18:30,ニンゲン観察モニタリング★変装アスリート五輪金メダリストSP！警察学校へ初潜入！🈑,"変装オリンピック金メダリストが能力解放しまくりアジア大会SP！
柔道・角田夏実が変装して警察学校に初潜入！警察官ひしめく中、正体バレずに新人警察官を投げら..."
札幌,1 HBC,2026-09-17,21:40,櫻井・有吉THE夜会🈑堂本剛&奈緒が名店の豆腐料理に挑戦！,"新企画！今話題の名店の味を簡単に再現！夜会THEキッチン
プロが教える！自宅でできる豆腐料理
話題のライフハック術を藤原紀香＆高島礼子がガチ検証&正直レビュー！"
札幌,1 HBC,2026-09-17,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-17,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-09-17,05:30,しあわせ気分のスペイン語（23）ホームパーティーを楽しむ,スペイン北西部のガリシア地方。豊かな大自然に生きる人々の暮らしに密着しながら、初歩的な会話を学ぶ新シリーズ。前園真聖さんと一緒にしあわせになるヒントを探そう！
札幌,2 NHKEテレ..,2026-09-17,05:50,NHK高校講座 日本史探究 江戸幕府の成立🈑,日本史を探究！タレント秋元真夏が江戸幕府の成立を探究！およそ260年にわたり続いた江戸時代。大名や朝廷を、幕府はどのように統制していたのだろう？
札幌,2 NHKEテレ..,2026-09-17,06:10,きょうの健康 女性の病気「不妊の原因にも！？子宮筋腫」🈖🈑,月経量の増加や圧迫症状、不妊につながることもある「子宮筋腫」。治療法をどう選択すればいいのか。子宮筋腫が増加している理由やなりにくくするための生活習慣も紹介。
札幌,2 NHKEテレ..,2026-09-17,06:25,テレビ体操🈑,【出演】岡本美佳，舘野伶奈，吉江晴菜，新井庸太，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-09-17,06:35,みんなのうた「WAになっておどろう 〜イレ アイエ〜」,90年代／「WAになっておどろう 〜イレ アイエ〜」うた：AGHARTA（1997年）
札幌,2 NHKEテレ..,2026-09-17,06:40,プチプチ・アニメ 空き缶のツナ「ツナの誕生」,キッチンカウンターに、ぽつんととりのこされたツナの空き缶がひとつ。カラカラ回転すると、むっくりと起き上がり歩き出しました。空き缶のツナの冒険が始まります。
札幌,2 NHKEテレ..,2026-09-17,06:45,ピタゴラスイッチ「おいしそうなものがいっぱい」🈑,今回は「今日のみそしる」、今日は何のみそしる？「今日のフルーツ」「角砂糖アニメ」ほか。
札幌,2 NHKEテレ..,2026-09-17,06:55,Eテレ0655 木曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-09-17,07:00,The Wakey Show ヴィーテのとびら ひらけ！メガネ🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-09-17,07:20,アニメ はなかっぱ「名前をかえよう〜！」「ガーデニングのお手伝い」🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
札幌,2 NHKEテレ..,2026-09-17,07:30,みいつけた！ 木曜日🈑,4歳ごろから楽しみながら学べる教育的エンターテインメント番組。友達と遊ぶ楽しさ、命の不思議、できる喜び等さまざまな「発見」を通して楽しむことができる番組です。
札幌,2 NHKEテレ..,2026-09-17,07:45,おかあさんといっしょ 木曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-09-17,08:10,いないいないばあっ！ 木曜日🈑,ロケット、ヘリコプター、気球に蒸気機関車。のりものたくさん！ジャンジャンとワンワンは何にのるのかな？ぽぅぽとうたーんは、虫の国でバッタに乗って競争だ！
札幌,2 NHKEテレ..,2026-09-17,08:25,アニメ おじゃる丸「おじゃる丸と文通作戦」🈑,千年前のヘイアンチョウから月光町にやってきたおじゃる丸が、小学生のカズマや町の人々、あとを追ってきた子鬼（おに）たちとゆかいな騒動（そうどう）をまきおこします。
札幌,2 NHKEテレ..,2026-09-17,08:35,でこぼこポン！ たくさんの人と話をする発明品🈑,発達障害などの子が、ドラマやゲームでスキルアップ！今回は、たくさんの人と話をするコツを紹介する／出演：鳥居みゆき。声の出演：河合郁人ほか
札幌,2 NHKEテレ..,2026-09-17,08:45,プチプチ・アニメ こにぎりくん「プレゼント」,三角ボディにごま塩頭、元気なおにぎりの男の子、こにぎりくん。お友達のケロッケやペットのブロッコリーと、今日は何をして遊ぼうかな？
札幌,2 NHKEテレ..,2026-09-17,08:50,まいにちスクスク 親子で楽しむ公園遊び（2）砂場や地面を使った遊び方🈑,健康、食事、遊びなど、子育ての気になる情報やちょっとしたお役立ちアイデアをお送りする「まいにちスクスク」！魔法の5分で、あなたの子育てがもっと楽しくなりますよ！
札幌,2 NHKEテレ..,2026-09-17,08:55,みんなのうた「マスク・ド・カメロ」,SPアンコール／「マスク・ド・カメロ」作詞：新藤晴一、作曲：岡野昭仁、編曲：立崎優介・田中ユウスケ・PORNOGRAFFITTI、うた：ポルノグラフィティ
札幌,2 NHKEテレ..,2026-09-17,09:00,ドスルコスル「どうする？外国の人たちとの共生」🈖🈑,「世の中の課題とどう向き合う？」そのヒントを子どもたちに提示する番組。今回は、言葉や文化の違いに悩む外国人の声を紹介し、共生する上での課題を探る。
札幌,2 NHKEテレ..,2026-09-17,09:10,姫とボクはわからないっ SNS投稿には気をつけろ！の巻🈖🈑,ネットやスマホとのつきあい方を学べるドラマ。中学2年生になったスグル。念願のSNS投稿デビューを果たすも、まさかの落とし穴が。【出演】新津ちせ、藤森慎吾
札幌,2 NHKEテレ..,2026-09-17,09:20,Q〜こどものための哲学「ともだちってたくさん必要？（対話回）」🈑,日本初の子ども向け哲学番組。少年Qくんが抱いた不満や願望に、ぬいぐるみのチッチがなぜそう思ったのかを問いかけ、対話をしながら、自分なりの答えを探求していく人形劇
