放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-13,04:45,ライフライン 歌うこと、生きること、信じること,透明感のある歌声で国内外に活動の場を広げるシンガーソングライターのCherishさんにお話を伺います。
札幌,1 HBC,2026-09-13,05:15,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-13,05:45,日本のチカラ どっこい生きてる 〜高岡銅器の異端児〜🈑,伝統工芸・高岡銅器の着色工場3代目、折井宏司さん（56）。鮮やかな青が特徴の「折井ブルー」を生み出し生活雑貨やインテリア建材として国内外から人気を集めています。
札幌,1 HBC,2026-09-13,06:15,ハイグレードS,北のハイグレード食品を紹介する「ハイグレードS」商品はHBCショップで限定販売中！
札幌,1 HBC,2026-09-13,06:30,NEXT－GENERATION🈞,〜北海道から未来を作る若者たち〜自転車競技で世界一に 函館で育ったスピードスター 中石湊（21）に密着
札幌,1 HBC,2026-09-13,06:45,JNNニュース🈐,最新のニュースをお伝えします。
札幌,1 HBC,2026-09-13,07:00,健康カプセル！ゲンキの時間🈖🈑【「濃い味好き」は要注意！実は怖い！味覚の異変】,今回は、「味覚」について徹底リサーチ。味覚が変化する原因や予防法、味覚に異常を感じた時の対策などを専門医に教えてもらいます。
札幌,1 HBC,2026-09-13,07:30,がっちりマンデー‼公園ビジネス！遊具㊙開発術！放置公園が冒険の森に⁉樹木医って⁉,カエルが虎に変身⁉遊具日本最大手の㊙コスパ開発術！全国の公園を美しく保つ凄腕集団！芝を守るスゴ腕職人に…樹木医⁉放置された森林公園を絶景アスレチックに大改造！
札幌,1 HBC,2026-09-13,08:00,サンデーモーニング🈑,"▼張本勲さん死去。“ご意見番”としてスポーツ界を見守り続けた「喝！＆あっぱれ！」を振り返る
▼実感なき景気拡大その実態に迫る
▼“全国民に5000ドル”ト..."
札幌,1 HBC,2026-09-13,09:54,サンデー・ジャポン ニッポン＆世界の政治が激震！徹底追及SP▽張本勲さんと爆笑問題,ニッポン＆世界の政治が激震！徹底追及SP▽“分裂”で11億政党交付金は？中道・泉議員が生出演VS太田光▽ドイツ極右政党が圧勝▽張本勲さんと爆笑問題▽俳優・...
札幌,1 HBC,2026-09-13,11:23,アジア大会×VIVANT〜新たな別班候補はだれだ？〜🈑,"9月16日放送開始『アジア大会愛知・名古屋』
今回紹介する新たな別班候補は・・・レスリング鏡優翔"
札幌,1 HBC,2026-09-13,11:29,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-13,11:35,上田晋也のサンデーQ🈑新iPhone57万円も…上がり続ける価格なぜ▼令和の修学旅行事情,"尾上松也に浮所飛貴らが専門家にとことん質問！""若者のコンビニ離れ”に一手…アパレル商品強化▼中道改革連合“借金を税金で返済”国民怒りの声▼個人向け国債購入4倍超"
札幌,1 HBC,2026-09-13,12:54,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-13,13:00,ジンギス談！おかわり,8年ぶりに登場！レイザーラモン怒涛の後編！！RGの「あるあるネタ」衝撃の稼ぎと流儀を告白！HGの伝説的ギャグ「セイ」or「フォー」？究極の2択クイズも！
札幌,1 HBC,2026-09-13,13:30,今日ドキッ！プラス【消費カロリーが現金化！究極の一杯を求め北大周辺をRUN！】,毎週月〜金曜ごご4:50〜7:00放送中の情報報道番組『今日ドキッ！』の傑作選！メインMCはHBCアナウンサー堀啓知と森田絹子
札幌,1 HBC,2026-09-13,14:00,世界くらべてみたら★キテレツ佐々木激辛！SixTONES森本自由研究🈑,スリランカ激辛デカ盛りvsぞうさん＆キテレツ佐々木▼SixTONES森本＆あばれる君＆照英が世界で自由研究！東大教授開発の昆虫ゼリーでどんな虫が捕れるのか？
