放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-13,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-13,05:20,THE TIME，🈑🈓大気不安定…関東ゲリラ雷雨 新たな台風が発生気になる進路は,"VIVANTドラム×アジア大会「eスポーツ」ぷよぷよ達人▽県民あるある大調査！▽
かけるだけ?グルメ塩▽大腸がん早期発見のカギとなるか▽永尾柚乃＆若槻千夏に"
札幌,1 HBC,2026-08-13,08:00,ラヴィット！世界一のマジシャンが種明かし&見ればすぐにマネできるマジックを伝授!🈑,世界大会3度優勝!!世界一のマジシャンMASA MAGICが超絶マジックを生披露&種明かし!見ればすぐにマネできるマジックを伝授!▼逆境を明るく乗り越えろ...
札幌,1 HBC,2026-08-13,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-13,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-08-13,11:20,3分クッキング🈑【海鮮たたき丼】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-13,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-08-13,11:55,ひるおび🈑台風一過もまた発生お盆の天気どうなる？大気不安定で雷雨に注意,休み明けは猛暑日が復活の見込み暑熱順化がリセットされていて熱中症に警戒…救急外来を独自取材▽変わりゆく“墓参りのカタチ”令和のお盆は映え寺にメタバース！？
札幌,1 HBC,2026-08-13,13:55,ゴゴスマ,また台風…新たに発生 台風17号 お盆明け接近の可能性 日本へ影響どうなる？▼夏の暑さをしのぐ！ご当地“冷やし文化” 🈀(予定)
札幌,1 HBC,2026-08-13,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-08-13,16:50,今日ドキッ！🈢【イルカトレーナーに東峰アナが1日弟子入り…大技に成功なるか？】,番組放送後に事態が急展開！3万人の反対で函館の風力発電が中止に！▽147億円かけた札幌市中央区役所の欠陥トラブルは今▽収蔵スペースが足りない！博物館がピンチ
札幌,1 HBC,2026-08-13,19:00,プレバト【陶芸に相武紗季・薬丸裕英が初挑戦★SixTONESが俳句特待生！？】🈑,陶芸でアイデア雑貨！珍作続出…名俳優vs元乃木坂46★相武紗季に重圧が…★夏井先生久々の激怒「才能ナシ！」火種はエルフ？八嶋智人？ミスワールド慶応才女が初挑戦
札幌,1 HBC,2026-08-13,20:00,ニンゲン観察モニタリング★ドウェイン・ジョンソン大作戦！津田健次郎とUSJ旅SP！🈑,"FRUITS ZIPPER仲川瑠夏が、憧れ続けたドウェイン・ジョンソンとサプライズ初対面！
大号泣＆長年の夢が叶う…！？
津田健次郎がUSJの呪術廻戦アト..."
札幌,1 HBC,2026-08-13,22:00,サンド屋台☆菜々緒＆宮澤エマ＆モナキおヨネが来店で大揉め！！爆笑トーク＆ゲーム🈑,菜々緒がモーニングに頼むドリンクを巡り大激論「カッコつけんなよ」▼菜々緒は風呂キャン派？バスタオル毎日洗う？酔っ払いに街頭インタビュー新企画▼モナキおヨネに困惑
札幌,1 HBC,2026-08-13,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-13,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
