放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-09,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-09,05:20,THE TIME，🈑🈓名古屋市にレベル5緊急安全確保 関東でも「線状降水帯」恐れ,住宅浸水で保険適用は？▽ケーキ店5人死傷事件 同窓会写真入手▽「VIVANT」海外市場開拓へ▽新定番「眉毛サロン」▽伊勢・志摩お得な切符旅▽SixTONES直撃
札幌,1 HBC,2026-09-09,08:00,ラヴィット！採用なるか！？店舗数日本一お好み焼きチェーンと新商品開発！みなみかわ,🈑みなみかわ＆さらばAI王決定戦に挑む！よくある場面のベストアンサーをAIが格付け▼名物企画が復活！ししおどしチャレンジがパワーアップ！奇跡の成功なるか？
札幌,1 HBC,2026-09-09,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-09,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-09-09,11:20,3分クッキング🈑【ピクルス・鶏肉とピクルスの甘酢炒め】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-09-09,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-09-09,11:55,ひるおび🈑【記録的な大雨に要警戒 線状降水帯も発生か？▽ネパール土石流災害】,記録的な大雨に要警戒 線状降水帯も発生か？▽ネパール土石流災害 現地の被害の様子とは▽管理職は罰ゲーム？
札幌,1 HBC,2026-09-09,13:55,ゴゴスマ,名古屋冠水 東海で線状降水帯発生 各交通機関にも影響が 大雨の影響…関東は？前線の停滞いつまで？この先の予報を詳しく 🈀(予定)
札幌,1 HBC,2026-09-09,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-09-09,16:50,今日ドキッ！🈢【あきらめないミラクル逆転V！ファイターズ×ホークス試合直前情報】,追跡！京極町のミャンマー人実習生暴行疑惑…労働組合との団体交渉で農業法人は何を語る？▽親元を離れて7日間…中学生が挑んだ夏合宿▽住まいを守る防犯グッズ
札幌,1 HBC,2026-09-09,18:15,Bravo！ファイターズ「ソフトバンクvs日本ハム」🈢🈓,F戦士たちが悔しさ残る福岡で躍動する姿を見逃すな！天敵ソフトバンクに勝利し逆襲の秋へ…▽中継を見て豪華プレゼントが当たるチャンスも！
札幌,1 HBC,2026-09-09,21:58,フラッシュニュース🈑,最新のニュースをお伝えします。
札幌,1 HBC,2026-09-09,22:00,水曜日のダウンタウン#470🈑,落ちてるレシートを拾いながら四国に向かって歩けば、そのレシートで作った白装束でそのままお遍路巡れる説▼1人のジジイが倒れたら即消滅しちゃうモノ、結構ある説
札幌,1 HBC,2026-09-09,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-09,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-09-09,05:30,しあわせ気分のドイツ語（22）買い物で役立つ表現,テーマは「ことば×ライフスタイル」。ドイツの若者のリアルな暮らしで交わされる会話から、生きたドイツ語表現を学び、ドイツ流ライフスタイルやその価値観に触れる番組。
札幌,2 NHKEテレ..,2026-09-09,05:50,NHK高校講座 地理探究 探究2 持続可能な社会づくりと産業🈑,世界の地理を探究する番組！謎解きクリエイター松丸亮吾と一緒に「持続可能な社会づくり」について探究！産業や人・モノのつながりなど、学んだ知識を組み合わせ考えよう！
札幌,2 NHKEテレ..,2026-09-09,06:10,きょうの健康“筋トレ”を高齢者にも！これが筋肉新常識「マイオカイン」🈖🈑,「マイオカイン」とは筋肉から分泌される生理活性物質の総称。筋トレにおけるこの物質の健康効果について考える。「3段階レベル別スクワット」や「ながら運動」を実演。
