放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-15,04:05,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-15,05:20,THE TIME，🈑🈓「殺害することで人生をリセットしたい」ネイリスト殺害の動機,公園や意外な場所にも…都内で“毒キノコ”増殖中！？▽気温乱高下で車に異常▽初参戦も！お月見商戦▽注目ランニング経済圏▽りくりゅう婚約後初！▽石川佳純×体操・橋本
札幌,1 HBC,2026-09-15,08:00,ラヴィット！松本若菜＆佐野勇斗が3分カラオケで名曲歌唱＆名物ビリビリPKで心理戦,"🈑▼佐野勇斗「3分の時に歌っていたらダメよゲーム」リベンジ！SMAP名曲披露!?
▼松本＆佐野がビリビリPK心理戦
▼だれもが知る店、キャラ、国旗でカラー..."
札幌,1 HBC,2026-09-15,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-15,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-09-15,11:20,3分クッキング🈑【ひじきともやしのごまあえ】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-09-15,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-09-15,11:55,ひるおび🈑【秋雨前線・再び活発化 ▽食料品の消費税1％ 減税・給付で生活は？】,秋雨前線・再び活発化 広範囲また雨…雷雨も ▽食料品の消費税1％ 減税・給付で生活は？ ▽解約トラブル対処法
札幌,1 HBC,2026-09-15,13:55,ゴゴスマ,前線停滞…きょう広範囲で大雨か 激しい雨・雷に警戒も“新たな台風”発生へ 秋の大型連休直撃か！？▼アジア大会直前情報 🈀(予定)
札幌,1 HBC,2026-09-15,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-09-15,16:50,今日ドキッ！🈢【道内で人気の住宅地は？▽サツゲキ跡に新施設テーマは「秘密基地」】,道内で人気の住宅地は？▽サツゲキ跡に新施設！▽レバンガが必勝祈願▽詳しい天気を児玉予報士解説▽電話で参加♪賞金が当たるクイズ「ランクイ〜ン」出題午後6時15分頃
札幌,1 HBC,2026-09-15,18:30,THE神業チャレンジ★最強美女！神業フェンシング＆潜入！新幹線の神VSなにわ大西,🈖🈑フェンシング江村＆尾﨑VS難関神業★JR東海全面協力&東海道新幹線の個室車両を初公開！窓に搭載された世界初の機能とは？★土屋太鳳＆佐久間大介VS神職人！
札幌,1 HBC,2026-09-15,20:00,バナナサンド☆二宮和也と踊ってグルメ対決&蒔田彩珠・野呂佳代がハモリ我慢🈖🈑🈓,二宮和也が絶品餃子をかけたダンシング積み木ゲームでノリノリダンス▼蒔田彩珠&野呂佳代がハモリ我慢リベンジ！中島みゆき・いきものがかり・松浦亜弥の名曲で美声連発！
札幌,1 HBC,2026-09-15,20:55,マツコの知らない世界 地味だけど奥深い！カヌレ&巨石の世界🈖🈑,ガリッ！もちっ！王道カヌレから甘くない進化系まで/実は絶品！素材の味を生かしたパン屋さんのカヌレ/巨石の聖地・島根県出雲へ！とんでもない秘境にある巨石とは？！
札幌,1 HBC,2026-09-15,22:00,火曜ドラマ「君の好きは無敵」最終話 その「好き」が、きっと誰かを無敵にする！🈡🈖,🈑ついに最終話！突然のお別れ宣言で離ればなれになった元コンサル草壁（松本若菜）と偏屈デザイナー瀬尾（佐野勇斗）。驚きの再会と好きの力がキャラクター業界に奇...
札幌,1 HBC,2026-09-15,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-15,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-09-15,05:30,しあわせ気分のフランス語（23）お楽しみの時間がやってきた！,自分のライフスタイルを大切にし、人を愛し、モノを大切にするフランス人の暮らしの中に、幸せのヒントを見つけます。口にすれば思わず笑顔になるフレーズも学びましょう！
札幌,2 NHKEテレ..,2026-09-15,05:50,手話シャワー（16）「自己紹介・あいさつ編（パート1、2）」🈑🈐,長濱ねるさんがろう学校の生徒たちから手話を学ぶ 全く新しい手話講座番組！今回は「自己紹介・あいさつ編」のパート1と2
札幌,2 NHKEテレ..,2026-09-15,05:55,手話で楽しむみんなのテレビ×ダーウィンが来た！半年の命 カメレオン🈖🈑🈐🈞,マダガスカルに暮らすラボードカメレオンは、ふ化してから命が尽きるまで半年という、陸上脊椎動物で最も短命だ。駆け抜けるようなその生涯を手話でお届け！
札幌,2 NHKEテレ..,2026-09-15,06:25,テレビ体操🈑,【出演】鈴木大輔，我喜屋佑衣，杉井勇介，森山雅斗，【ピアノ】細貝柊
札幌,2 NHKEテレ..,2026-09-15,06:35,みんなのうた「おじいちゃんちへいこう」／「うんだらか うだすぽん」,【10年代】「おじいちゃんちへいこう」うた：氷川きよし（2016年）／「うんだらか うだすぽん」うた：ハナレグミ と うんだらか楽団（2017年）
札幌,2 NHKEテレ..,2026-09-15,06:40,プチプチ・アニメ モノだらけ！「はひふへほ」,ふだん何気なく見ている身の回りのたくさんのモノたち。ちょっと想像をひろげてみると、あんなモノやこんなモノに変身して、楽しいお話を繰り広げてくれます。
札幌,2 NHKEテレ..,2026-09-15,06:45,ピタゴラスイッチ ▽想像してみよ ▽じゃがいも会議🈑,世の中をピタゴラ的ユニークな見方で伝えます。今回は「想像してみよ」が登場。小さな金属の球が重なって、どんな形になるのか？想像してください。
札幌,2 NHKEテレ..,2026-09-15,06:55,Eテレ0655 火曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-09-15,07:00,The Wakey Show マリーゴールのとびら ひらけ！ボクシング🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
