放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-02,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-02,05:20,THE TIME，🈑🈓その咳「隠れ花粉症」かも…今年の秋の花粉は量が多い！？,巧妙「あげます」詐欺▽大規模火災の火元は▽ネパール土石流1週間九死に一生▽知りたい「正しい休養法」▽夏売り切れ大調査▽あの＆森香澄受賞喜び▽榮倉奈々が子育て語る
札幌,1 HBC,2026-09-02,08:00,ラヴィット！競泳レジェンド入江陵介＆森香澄＆デビュー決定岩﨑大昇が画像クイズGP,夏休みの思い出発表！岩﨑大昇デビュー決定秘話▼画像クイズ王！本当にある？ない？有名人のCDジャケット▼好き嫌いグルメのだまし合い！あちらのお客様からデス
札幌,1 HBC,2026-09-02,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-02,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-09-02,11:20,3分クッキング🈑【焼きじゃが芋と辛みねぎのサムギョプサル】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-09-02,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-09-02,11:55,ひるおび🈑【台風24号列島に接近中…週末“警報級大雨”か▽変わる令和の結婚観】,台風18号復活でW台風発生中▽未婚若者の約3人に1人が「結婚するつもりはない」こども家庭庁調査▽1日から「生活道路」法定速度60から30キロに引き下げ
札幌,1 HBC,2026-09-02,13:55,ゴゴスマ,最新進路は 台風24号 日本に接近 週後半各地で大雨警戒 今できる大雨への備え▼西日本は厳しい暑さ “小さい秋”先取りも 🈀(予定)
札幌,1 HBC,2026-09-02,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-09-02,16:50,今日ドキッ！🈢【独走第2弾！京極町ミャンマー人実習生虐待問題 新たな音声を入手】,ファイターズが首位ホークスを迎え撃つ！エスコンFから試合直前情報▽いま揃えたい防災用品をホームセンターでチェック！▽天気回復はいつ頃？児玉予報士が詳しく
札幌,1 HBC,2026-09-02,18:15,Bravo！ファイターズ「日本ハムvsソフトバンク」🈕🈓,勝負の秋は一戦必勝！宿敵ソフトバンクをホームで迎え撃つ▽金子誠＆鶴岡慎也のダブル解説で熱戦をお伝えします▽さらに豪華プレゼントが当たるチャンスも！
札幌,1 HBC,2026-09-02,21:58,フラッシュニュース🈑,最新のニュースをお伝えします。
札幌,1 HBC,2026-09-02,22:00,水曜日のダウンタウン#469🈑,ラーメン屋の前を通ったら必ず1杯食べなければならない超過酷企画「国道ラーメンマラソン」を…みなみかわ＆高野組vsともしげ&中嶋のラーメン大好き組で今年も開催！
札幌,1 HBC,2026-09-02,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-02,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-09-02,05:30,しあわせ気分のドイツ語（21）将来を語るための表現,テーマは「ことば×ライフスタイル」。ドイツの若者のリアルな暮らしで交わされる会話から、生きたドイツ語表現を学び、ドイツ流ライフスタイルやその価値観に触れる番組。
札幌,2 NHKEテレ..,2026-09-02,05:50,NHK高校講座 地理探究 貿易と経済圏🈑,世界の地理を探究する番組！謎解きクリエイター松丸亮吾と一緒に「貿易と経済圏」を探究！自由貿易協定、経済連携協定とは？モノカルチャー経済から脱却するためには？
札幌,2 NHKEテレ..,2026-09-02,06:10,きょうの健康 がんに備える最新情報がんの遺伝子検査診断治療のヒントに🈖🈑,がんの遺伝子を調べて最適な薬を選択する時代に。標準治療が終わったり治療効果がなくなった段階でも、たくさんの遺伝子を一度に調べて使える薬を探すことができるように。
札幌,2 NHKEテレ..,2026-09-02,06:25,テレビ体操🈑,【出演】鈴木大輔，舘野伶奈，我喜屋佑衣，福島波奈，杉井勇介，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-09-02,06:35,みんなのうた「あさな ゆうな」／「ばぶるばす」,00年代／「あさな ゆうな」うた：城 南海（2009年）／「ばぶるばす」うた：いはたじゅり（2001年）
札幌,2 NHKEテレ..,2026-09-02,06:40,プチプチ・アニメ 森のレシオ「風の郵便屋さん」,氷の世界に住む少女レシオとその友だち、毛むくじゃらのジャモン。ふたりは、出かけた先で出会った精霊や不思議な生き物たちから、さまざまなことを学んでゆきます。
札幌,2 NHKEテレ..,2026-09-02,06:45,ピタゴラスイッチ▽このみぞにそってすすめ！🈑,人形劇のテーマは「このみぞにそってすすめ！」。百科おじさんが、みぞをりようして、あるモノを切ろうとしています。それは、なにかな？
札幌,2 NHKEテレ..,2026-09-02,06:55,Eテレ0655 水曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-09-02,07:00,The Wakey Show 「いきもの超ワールド展」モッソ編🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-09-02,07:20,アニメ はなかっぱ「思い出のアサガオ」「同じようにならべてみよう！」🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
札幌,2 NHKEテレ..,2026-09-02,07:30,みいつけた！ 水曜日🈑,4歳ごろから楽しみながら学べる教育的エンターテインメント番組。友達と遊ぶ楽しさ、命の不思議、できる喜び等さまざまな「発見」を通して楽しむことができる番組です。
札幌,2 NHKEテレ..,2026-09-02,07:45,おかあさんといっしょ 水曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-09-02,08:10,いないいないばあっ！ 水曜日🈑,どうぶつがたくさん登場するよ。にわとり、うさぎ、くま、きつね、サイ…。好きな動物はいるかな？ぽぅぽ場所千秋楽！優勝するのは誰だ？▼ピカピカブ〜！など。
札幌,2 NHKEテレ..,2026-09-02,08:25,アニメ おじゃる丸「星野 女の子と出会う」🈑,千年前のヘイアンチョウから月光町にやってきたおじゃる丸が、小学生のカズマや町の人々、あとを追ってきた子鬼（おに）たちとゆかいな騒動（そうどう）をまきおこします。
札幌,2 NHKEテレ..,2026-09-02,08:35,デザインあneo えかきうたスペシャル🈑,かずえうた／だし／集合！／つくる
札幌,2 NHKEテレ..,2026-09-02,08:45,プチプチ・アニメ ロボットパルタ「パルタの大そうさく」,寝ぼすけであわてんぼうのパルタ。ガールフレンドのピプコや犬のコロタたちとの、ドタバタだけれども楽しい毎日。海や山、あらゆるところで大冒険が繰り広げられます。
札幌,2 NHKEテレ..,2026-09-02,08:50,てれび絵本「えほん寄席 狸札（たぬさつ）」🈑,命を助けてくれた恩返しをしたいと、子狸が親方のところへやってきた。そこで、親方は考えたあげく…。
札幌,2 NHKEテレ..,2026-09-02,08:55,みんなのうた「Umm」／「あっ！」,「Umm」うた：sumika、アニメ：かずきおえかき／「あっ！」うた：YONA YONA WEEKENDERS、アニメ：いよりさき
札幌,2 NHKEテレ..,2026-09-02,09:00,キキとカンリ 地（じ）しんのときの行動2🈖🈑,小学校低学年向け安全教育番組！子どもたちが「自ら危険を回避できる力」を養います。今回のテーマは外で地震が起きたときの行動。通学路の危険は？出演：おぎやはぎ他
札幌,2 NHKEテレ..,2026-09-02,09:10,コノマチ☆リサーチ「“シゴト”ってなんだ？」🈖🈑,小学3年社会の番組。漫画家ハジメ（岸田メル）のもとに、宇宙人ズビが“まちのひみつ”を調べにやって来る。今回は、民奈野市で働く人たちの「仕事」について調べる。
札幌,2 NHKEテレ..,2026-09-02,09:20,よろしく！ファンファン「自然災害とともに生きる〜地震〜」🈖🈑,小学4年社会科の番組。3人の小学生の宇宙人が、ロボットのファンファン（声：福圓美里）とともに日本のくらしを調べる。今回は、地震に備えた防災の取り組みを調べる。
札幌,2 NHKEテレ..,2026-09-02,09:30,ズームジャパン 芸術はバクハツだ！事件！？ くらしを支える工業製品🈖🈑,小学5年生社会科の番組「ズームジャパン」。今回のテーマは「くらしを支える工業製品」。そもそも工業製品って何？どこで作られ、企業の工夫でどう進化したか学びます。
札幌,2 NHKEテレ..,2026-09-02,09:40,歴史にドキリ「聖徳太子」🈖🈑,出演：中村獅童 音楽：前山田健一（ヒャダイン） 振付：振付稼業air：man（エアーマン）冠位十二階や十七条の憲法で天皇中心の政治を行った聖徳太子の功績を知る。
