放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-03,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-03,05:20,THE TIME，🈑🈓“迷走”台風24号＋秋雨前線活発化「警報級大雨」長引く恐れ,新学期早々の学校でインフル流行の危機…早まるワクチンの対応▽大人気手間なし「直パケレシピ」▽松田里奈も驚きのDIY▽市川團十郎＆新之助！▽ガッツ石松お別れの会
札幌,1 HBC,2026-09-03,08:00,ラヴィット！シソンヌ長谷川と返信困るラインどう返す?神返信選手権▼画像違和感Q🈑,シソンヌ長谷川参戦！返信に困るメッセージへ誰が一番いい返信ができるか!?ライン神返信選手権▼現実ではありえないことを探せ!画像違和感Q▼夏休み思い出を絵日...
札幌,1 HBC,2026-09-03,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-03,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-09-03,11:20,3分クッキング🈑【カポナータ】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-09-03,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-09-03,11:55,ひるおび🈑【“迷走”台風24号どこへ？警報級大雨に警戒▽神栖くじ引き市長選判決】,「まんじゅうや」「だんごさん」票は有効か無効か▽神戸市で部活動廃止…続々と地域クラブ移行の中で課題は？
札幌,1 HBC,2026-09-03,13:55,ゴゴスマ,備えが必要 台風24号の最新進路は 動き遅く前線も停滞…週末も警報級大雨か▼「まんじゅうや」票の有効性は？きょう判決 🈀(予定)
札幌,1 HBC,2026-09-03,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-09-03,16:50,今日ドキッ！🈢【老舗洋食店メンチカツ愛されるワケは？闘病の父が家族へ伝えた味は】,開港100年千歳空港！現存する歴史的建造物▽追跡京極町虐待問題▽亡父のスポーツカー▽コンサ鹿児島で激闘！F緊迫のカード第2戦▽電話で参加♪賞金当たるランクイ〜ン
札幌,1 HBC,2026-09-03,19:00,プレバト【好評！丼査定❷新たな因縁！梅沢vs長谷川あかり★夏井vs東大頭脳】🈑,簡単アイデア丼に挑戦！ロバート馬場にダメ出し！梅沢富美男㊙きつね丼！3児のママ菊川怜vs料理自慢アイドル★高学歴芸能人勢揃いも夏井鬼ギレ「黙れ！」未唯UFO踊る
札幌,1 HBC,2026-09-03,20:00,ニンゲン観察モニタリング★変装アスリート特別編！卓球水谷がだまされて大混乱SP🈑,"いつもは変装してだます側の卓球・水谷隼が今回はだまされる！ピックルボール・アジア王者参戦で水谷＆M!LK塩﨑パニック！
人気アーティストが学校でサプライズ..."
札幌,1 HBC,2026-09-03,21:50,櫻井・有吉THE夜会🈑10分で2品!時短料理&澤夫妻5000万で家探し,"▼10分で2品作る!?櫻井翔と重岡大毅が時短料理に挑戦！
▼予算5000万…澤穂希が夫婦で夢のマイホーム探し
▼トラジャとB&ZAIが芸能人の一軒家をガチ掃除！"
札幌,1 HBC,2026-09-03,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-03,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-09-03,05:30,しあわせ気分のスペイン語（21）伝統の磁器づくり,スペイン北西部のガリシア地方。豊かな大自然に生きる人々の暮らしに密着しながら、初歩的な会話を学ぶ新シリーズ。前園真聖さんと一緒にしあわせになるヒントを探そう！
札幌,2 NHKEテレ..,2026-09-03,05:50,NHK高校講座 日本史探究 豊臣秀吉による全国統一🈑,日本史を探究！タレント秋元真夏と高校生が豊臣秀吉の全国統一を探究！秀吉の「武力による平和」とはどのようなものだったのだろう？
札幌,2 NHKEテレ..,2026-09-03,06:10,きょうの健康 がんに備える最新情報 「気をつけて！怪しいがん情報」🈖🈑,インターネット上には科学的な根拠の疑わしいがんの情報が多くみられる。どのような表現に気をつけたらいいのか、どこから正しい情報を入手すればいいのか、専門家が解説。
札幌,2 NHKEテレ..,2026-09-03,06:25,テレビ体操🈑,【出演】岡本美佳，舘野伶奈，吉江晴菜，新井庸太，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-09-03,06:35,みんなのうた「WAになっておどろう 〜イレ アイエ〜」,90年代／「WAになっておどろう 〜イレ アイエ〜」うた：AGHARTA（1997年）
札幌,2 NHKEテレ..,2026-09-03,06:40,プチプチ・アニメ もじゃとまじょ「もじゃとまじょ」,どんなぬいぐるみにもなれる綿の使い魔「もじゃ」。お裁縫の魔女が魔法の力を使いながら、布を縫い合わせ、もじゃの体を作ります。今日はどんな姿になるのかな？
札幌,2 NHKEテレ..,2026-09-03,06:45,ピタゴラスイッチ▽フレーミーとふしぎな線 ▽おりたたみハンカチ劇場🈑,今回は、透明な筒の中を、紙がひらひらと落ちてゆく仕掛けのピタゴラ装置が登場。「おりたたみハンカチ劇場 みんなでかくれんぼ」もあります。
札幌,2 NHKEテレ..,2026-09-03,06:55,Eテレ0655 木曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-09-03,07:00,The Wakey Show 「いきもの超ワールド展」ヴィーテ編🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-09-03,07:20,アニメ はなかっぱ▽やまびこ村ゴールドラッシュ！▽超HボーイVS暴走Aガール🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
札幌,2 NHKEテレ..,2026-09-03,07:30,みいつけた！ 木曜日🈑,4歳ごろから楽しみながら学べる教育的エンターテインメント番組。友達と遊ぶ楽しさ、命の不思議、できる喜び等さまざまな「発見」を通して楽しむことができる番組です。
札幌,2 NHKEテレ..,2026-09-03,07:45,おかあさんといっしょ 木曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-09-03,08:10,いないいないばあっ！ 木曜日🈑,粘土遊びってたのしいね。おうちゃんは何をつくるのかな？▼うた「たいこたいこ どんどん！」、▼童謡「おすもうくまちゃん」。番組の最後におともだちの絵を紹介します。
札幌,2 NHKEテレ..,2026-09-03,08:25,アニメ おじゃる丸「乙女のため息」🈑,千年前のヘイアンチョウから月光町にやってきたおじゃる丸が、小学生のカズマや町の人々、あとを追ってきた子鬼（おに）たちとゆかいな騒動（そうどう）をまきおこします。
札幌,2 NHKEテレ..,2026-09-03,08:35,でこぼこポン！“急に大声が出ちゃう人”の発明品🈑,発達障害などの子が、ドラマやゲームで楽しくスキルアップ！今回は、急に大声を出しがちな子への支援方法を紹介する。／出演：鳥居みゆき。声の出演：吉岡里帆ほか
札幌,2 NHKEテレ..,2026-09-03,08:45,プチプチ・アニメ こにぎりくん「いただきます！」,三角ボディにごま塩頭、元気なおにぎりの男の子、こにぎりくん。お友達のケロッケやペットのブロッコリーと、今日は何をして遊ぼうかな？
札幌,2 NHKEテレ..,2026-09-03,08:50,まいにちスクスク 手間抜きラクラク離乳食（3）おそうざい🈑,健康、食事、遊びなど、子育ての気になる情報やちょっとしたお役立ちアイデアをお送りする「まいにちスクスク」！魔法の5分で、あなたの子育てがもっと楽しくなりますよ！
札幌,2 NHKEテレ..,2026-09-03,08:55,みんなのうた「マスク・ド・カメロ」,SPアンコール／「マスク・ド・カメロ」作詞：新藤晴一、作曲：岡野昭仁、編曲：立崎優介・田中ユウスケ・PORNOGRAFFITTI、うた：ポルノグラフィティ
札幌,2 NHKEテレ..,2026-09-03,09:00,ドスルコスル「どうする？大災害が起きたら」🈖🈑,「世の中の課題とどう向き合う？」そのヒントを子どもたちに提示する番組。今回のどうする編では、災害から自分たちの命を守るために解決が必要な課題について考える。
札幌,2 NHKEテレ..,2026-09-03,09:10,姫とボクはわからないっ ちょ、著作権って何なのじゃ？の巻🈖🈑,ネットやスマホとのつきあい方を学べるドラマ。現代にタイムスリップした戦国の姫がボクの家に！迷子の愛犬を探すチラシが著作権侵害！？【出演】新津ちせ、藤森慎吾
札幌,2 NHKEテレ..,2026-09-03,09:20,Q〜こどものための哲学「ウソをつくことは悪いこと？（対話回）」🈑,日本初の子ども向け哲学番組。少年Qくんが抱いた不満や願望に、ぬいぐるみのチッチがなぜそう思ったのかを問いかけ、対話をしながら、自分なりの答えを探求していく人形劇
札幌,2 NHKEテレ..,2026-09-03,09:35,えいごでがんこちゃん「どんな かたちにする？」🈖,ツムちゃんのお母さんに、クッキーの作り方を教えてもらうことに。丸、三角、四角、ハート型、星型などなど、いろいろな型があるけど、君はどんな形のクッキーにしたい？
札幌,2 NHKEテレ..,2026-09-03,09:40,エイゴビート2 What’s this？／これなあに？🈖,リズムに乗って体を動かし、楽しく英語を身につけよう！英語ビギナーのキッズが、習ったキーフレーズを引っさげて外国人との会話に挑戦。小学3、4年向け。出演・すみれ
札幌,2 NHKEテレ..,2026-09-03,09:50,小学生の基礎英語 on TV I went to Australia．🈖,サンシャイン池崎が小学生と英語をエンジョイ！街の外国人にインタビューしたり、海外の小学生とオンラインで話したり、小学校で学ぶ英語を使い楽しくコミュニケーション！
札幌,2 NHKEテレ..,2026-09-03,10:00,NHK高校講座 英語コミュニケーションⅠ 楽しんでいることを伝えよう,さまざまな英語の表現を知って、英語でのコミュニケーションを楽しみましょう！ 出演：鞘師里保 Shizuka Rachel Anderson
札幌,2 NHKEテレ..,2026-09-03,10:20,NHK高校講座 ベーシック英語 してもいいこと／いけないこと,中学校までの英語のつまずきポイントを基礎からしっかり学べる講座です。今回は、してもいいこと、してはいけないことを言うときの表現を学びます。
