放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-07-26,04:45,ライフライン 人生最高の出会い〜私が見つけた生きる意味〜,牧師・千葉明徳さんに、人生を変えた出会いと人が生きる意味を伺います。
札幌,1 HBC,2026-07-26,05:15,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-07-26,05:45,日本のチカラ ビートで輝け！〜DJ介護士のロマンディスコ〜🈑,介護福祉士の大滝亮輔さんはDJの顔も持ち、高齢者施設をディスコ会場に変える音楽イベントを開催しています。お年寄りに非日常の瞬間を提供し生きるエネルギーを届...
札幌,1 HBC,2026-07-26,06:15,ハイグレードS,北のハイグレード食品を紹介する「ハイグレードS」商品はHBCショップで限定販売中！
札幌,1 HBC,2026-07-26,06:30,EzoDriveセレクション,北海道のスタートアップシーンを応援する「EzoDrive」から選りすぐりのトークをお届け！創業者が語る貴重な体験談で、あなたも起業に向けた第一歩を！
札幌,1 HBC,2026-07-26,06:45,JNNニュース🈐,最新のニュースをお伝えします。
札幌,1 HBC,2026-07-26,07:00,健康カプセル！ゲンキの時間🈖🈑侮っていると一大事に！？消えないあざに隠れた恐怖,いつの間にかできては消え、気にせず過ごしがちな「あざ」。今回は、経験談をもとに、あざによる病気のサインや早期発見のヒントを専門医に教えてもらいます。
札幌,1 HBC,2026-07-26,07:30,がっちりマンデー‼CMで良く見るけど知らない会社！渡辺パイプ、INPEX、NGK,🈑パイプだけじゃない！スゴすぎる国内No．1商社★エネルギーを見つけて作って届ける巨大企業！秋田の㊙油田、新潟の巨大ガス田に潜入★超高度なセラミックス技術の会社
札幌,1 HBC,2026-07-26,08:00,サンデーモーニング🈑高市総理“寝てない”投稿の波紋▽消費税“迷走”と骨太ショック,中傷動画問題の「陳述書」ようやく提出も…「記録ない、記憶ない」▽夏休み“給食ロス”の子供たち…止まらぬ円安と物価高加速に打つ手は？▽各地で観測史上最高の「酷暑」
札幌,1 HBC,2026-07-26,09:54,サンデー・ジャポン 延長国会閉幕…議員直撃！▽堺雅人が緊急生出演！スタジオ生考察,延長国会閉幕…議員直撃！▽杉村太蔵「骨太」解説▽堺雅人が緊急生出演！「VIVANT」第2シーズンに迫る！▽独自取材！中村敬斗＆那須川天心▽ふるっぱー鎮西寿...
札幌,1 HBC,2026-07-26,11:23,ガッチャンコHBC★HBCテレビのおすすめ番組,HBCテレビで家族をガッチャンコ★ドラマ・バラエティ・ドキュメンタリー・・・おうち時間は「もんすけ1チャンネル」！HBCテレビのおすすめ番組を紹介します。
札幌,1 HBC,2026-07-26,11:29,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-07-26,11:35,上田晋也のサンデーQ🈑堺雅人が生出演「VIVANT」エキストラは4千人！聖地先取り巡礼,川島如恵留に菊地亜美らが専門家にとことん質問！あと6日で保険証が利用できない⁉マイナカードへ移行加速▼新築“最高値”なのに中古“値下がり”マンション価格に異変⁉
札幌,1 HBC,2026-07-26,12:54,S☆1 BASEBALL 「日本ハムvs楽天」🈓,オールスター前ラストは勝利を！エスコンで吉井新監督率いる楽天と激突！鶴岡慎也＆鉄平のW解説で熱戦をお届け▽中継を見てプレゼントが当たるチャンスも！
札幌,1 HBC,2026-07-26,16:30,レッツゴー怪奇組 第四怪🈑,"畠中 祐 青木瑠璃子 千葉 繁ほか
『ハーーーッ‼』 ギャグギャグホラー、ギャグホラー。
独特過ぎる怪奇ギャグドラマが今、始まる――！"
札幌,1 HBC,2026-07-26,17:00,日5「正反対な君と僕」 ＃16「新学期」🈑🈓,新学期、図書委員の仕事をする西のもとへ山田が現れる。山田と会えたことが嬉しくも内心ソワソワの西。仲良しの本田に背中を押され、自分の本当に気持ちに気付き……。
札幌,1 HBC,2026-07-26,17:30,Nスタ🈑 「飛鳥・藤原の宮都」が世界遺産新登録なるか▽「土用の丑の日」うなぎ店は,この日のニュースをまとめてお伝えします。▽奈良「飛鳥・藤原の宮都」が世界遺産新登録なるか▽きょうは「土用の丑の日」うなぎ店の賑わいは
札幌,1 HBC,2026-07-26,18:00,世界遺産／バリ島 1000年続く棚田の絶景（インドネシア）🈖🈑,"バリ島に広がる美しい棚田。実はこの棚田、1000年もかけて作り上げられたもの
そして、バリ島の農業には「幸せを生む3つの源」という独自の哲学が息づいていたのです"
札幌,1 HBC,2026-07-26,18:30,ベスコングルメ★夏の軽井沢SP・そば通DEEN池森オススメの手打ちそば名店へ🈖🈑🈓,そば激戦区・軽井沢でそば通DEEN池森さんオススメ！手打ちそば&旬の野菜天ぷらの名店へ！道中、「ぼっちそば」「発芽そば」など知られざる信州そば名店が続々登場！
札幌,1 HBC,2026-07-26,19:00,バナナマンのせっかくグルメ★VIVANT堺雅人＆濱田岳と日村が人気リゾート地🈑🈓,夏に行きたい人気リゾート地★VIVANT堺雅人＆濱田岳の逗子葉山の旅続編！海鮮定食の豪快かき揚げに堺雅人かぶりつく★日村は沖縄名店ソーキそば＆千葉館山の極厚焼肉
札幌,1 HBC,2026-07-26,20:00,VIVANT直前生放送★堺×阿部×二宮×松坂が集結！今からでも間に合うSPダイジェスト🈑,堺雅人＆阿部寛＆二宮和也＆松坂桃李が赤坂TBSに大集結！VIVANTを見た人も見てない人も完全攻略できるプレミアムダイジェスト！第2シーズンの最新㊙映像も...
札幌,1 HBC,2026-07-26,21:00,🈟日曜劇場「VIVANT」第11話🈖🈑,初回放送から超サプライズキャストが登場！！！日本最高峰の俳優たちが集結したアドベンチャードラマ！ネタバレ必至の初回放送は、リアルタイム超推奨！！！
札幌,1 HBC,2026-07-26,22:19,HBC天気予報,"道内の天気予報をお伝えします。
dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。"
札幌,1 HBC,2026-07-26,22:25,日曜日の初耳学◆堺雅人×林修『VIVANT』放送直後90分SP阿部寛＆初出しメイキング映像,🈑『VIVANT』最新作裏話…堺雅人＆阿部寛が証言◆早稲田大学劇研時代を先輩ゴスペラーズ村上が暴露◆親友山本耕史が堺の筋肉を図解◆堺雅人VS林修「戦国時代...
札幌,1 HBC,2026-07-26,23:49,ここに美味あり！〜いっちゃんおいしい北海道〜,明治時代に日本初のイチゴ栽培が始まった土地でもある函館。現代の函館でも、とても甘く大粒で「恋」がつくロマンティックなネーミングのイチゴが観光客らをもてなしている
札幌,1 HBC,2026-07-26,23:55,黒猫と魔女の教室🈑🈓 ＃16「イオ・トーラス がんばります」【アガルアニメ】,ポンコツ魔女×黒猫先生の魔法学園ファンタジー、開幕!!
札幌,2 NHKEテレ..,2026-07-26,05:00,こころの時代 わからなさのなかで〜最首悟の思想をたどる〜🈑🈞,相模原市の障害者施設で19人が殺害された事件から10年。生物学者で思想家の最首悟さんは、植松聖死刑囚に78通もの手紙を書きながら“わからなさ”を問い続けてきた。
札幌,2 NHKEテレ..,2026-07-26,06:00,NHK短歌 わたしの宮沢賢治 テーマ「月」🈑,毎月第4週は「わたしの宮沢賢治」。7、8月の選者は歌人の平岡直子さん。テーマは「月」。ゲストはシンガーソングライターの柴田聡子さん。司会は尾崎世界観さん。
札幌,2 NHKEテレ..,2026-07-26,06:25,テレビ体操🈑,【出演】鈴木大輔，舘野伶奈，吉江晴菜，我喜屋佑衣，新井庸太，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-07-26,06:35,NHK俳句 題「七夕」🈑,兼題「七夕」で句会開催。ロマンチックなイメージの「七夕」からどんな句が生まれるのか？古坂大魔王さんが「今まででいちばん恥ずかしい」という句とは？最高得点は？
札幌,2 NHKEテレ..,2026-07-26,07:00,第93回NHK全国学校音楽コンクール みんなの合唱レッスン・高等学校の部🈑,Nコン2026課題曲制作者が熱血指導！課題曲の真髄を子どもたちに直接解説します。見ればきょうから、歌声が変わる！出演：AI、岸田勇気 ナレーション：梶裕貴
札幌,2 NHKEテレ..,2026-07-26,07:10,第93回NHK全国学校音楽コンクール みんなの合唱レッスン・中学校の部🈑,Nコン2026課題曲制作者が熱血指導！課題曲の真髄を子どもたちに直接解説します。見ればきょうから、歌声が変わる！出演：反田恭平 ナレーション：梶裕貴
札幌,2 NHKEテレ..,2026-07-26,07:20,第93回NHK全国学校音楽コンクール みんなの合唱レッスン・小学校の部🈑,Nコン2026課題曲制作者が熱血指導！課題曲の真髄を子どもたちに直接解説します。見ればきょうから、歌声が変わる！出演：ワンワン、三宅悠太 ナレーション：梶裕貴
札幌,2 NHKEテレ..,2026-07-26,07:30,おとうさんといっしょ「まねまねどんぐー」🈑🈞,蒸気機関車D103が自慢の「レオレオ駅」でシュッシュ・ポッポ・ゆめ・まさとも・パンタン駅長・どんぐーが、歌ったり踊ったり大活躍！楽しいコーナーが盛りだくさん。
札幌,2 NHKEテレ..,2026-07-26,08:00,やさいの時間 みんなの菜園物語 兵庫県（後編）🈑,『家庭菜園が映す、かけがえのない物語』。視聴者の菜園をベジガーデンの出演者が訪ねるシリーズ。西宮市の仁川学院中学校、生徒と教員が一体となった園芸活動をレポート。
札幌,2 NHKEテレ..,2026-07-26,08:25,趣味の園芸 京も一日陽だまり屋「の〜んびり 蘇鉄（そてつ）」🈑,の〜んびりしたお客さんがやってきた。お薦めはゆっくり育つソテツ、恐竜の時代から変わらぬ姿で生きた化石とも言われる。観葉として楽しむディオーンという品種を紹介。
札幌,2 NHKEテレ..,2026-07-26,08:30,趣味の園芸 選 ステキをセレクト！タネから育てるコスモス🈑,2025年7月に放送した「ステキをセレクト！タネから育てるコスモス」を再放送。初心者でも失敗しない、コスモスを育てるテクニックを詳しくお伝えする。
札幌,2 NHKEテレ..,2026-07-26,08:55,no art，no life「洋一」🈑,洋一（50）はいつも自作の顔のオブジェ「シュワちゃん」を持っている。映画「ターミネーター」をこよなく愛し、今日も粘土で様々なシーンの「シュワちゃん」を再現する。
札幌,2 NHKEテレ..,2026-07-26,09:00,日曜美術館 陶芸家ルーシー・リー 繊細でたくましい器🈑,繊細な形と鮮やかな色が、人々を魅了する陶芸家ルーシー・リー。大ファンだという坂本美雨さんが、幾多の困難をたくましく乗り越えたルーシーの人生と優美な器を追う。
札幌,2 NHKEテレ..,2026-07-26,09:45,日曜美術館 アートシーン「まなざしの奇跡 日本女性写真家の冒険」展🈑,「まなざしの奇跡 日本女性写真家の冒険」（ヒカリエホール 7月4日〜8月26日）ほか展覧会情報
札幌,2 NHKEテレ..,2026-07-26,10:00,将棋フォーカス 選 フォーカス流・観る将検定 第2回！🈑,フォーカス流「観る将検定」。今回は「将棋界の様々なシステムの変遷」をテーマに、改革の経緯や背景、その過程で起こったエピソードなどから問題を提出。
札幌,2 NHKEテレ..,2026-07-26,10:30,第76回 NHK杯テレビ将棋トーナメント 1回戦第17局 羽生九段×横山七段🈑,NHK杯テレビ将棋トーナメントは、トップ棋士たち50名がトーナメント方式で戦う早指し棋戦。1回戦第17局は羽生善治九段と横山泰明七段の対戦。
札幌,2 NHKEテレ..,2026-07-26,12:00,囲碁フォーカス 選 知らずに使っている！？「囲碁用語」🈑,ふだん、私たちが何気なく使っている言葉の中には、囲碁由来と言われているものがあります。例えば「だめ」とか・・・ちょっと変わった囲碁の楽しみ方を紹介します！
