放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-09-07,04:05,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-07,05:20,THE TIME，🈑🈓都心で災害級大雨「線状降水帯」発生の恐れ通勤や通学に影響は,VIVANT撮影秘話！堺雅人「第3のキャラ」▽くら寿司×「ちいかわ」コラボ中止の波紋…従業員が横領フリマで売却か▽“神コスパ”のモーニング▽柔道角田夏実が生出演
札幌,1 HBC,2026-09-07,08:00,ラヴィット！杉谷拳士参戦！名店の焼きそば完全再現＆ビリビリ書き順＆熊プロ新企画🈑,"▼田辺VS熊プロ！みかさ直伝の焼きそばをかけ2択クイズで対決
▼プレッシャーに打ち勝て！ビリビリ書き順バトル
▼熊プロ考案「女子〜！」で始まる愛のアドバイ..."
札幌,1 HBC,2026-09-07,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-09-07,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-09-07,11:20,3分クッキング🈑【冷やし豆乳麻婆豆腐】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-09-07,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-09-07,11:55,ひるおび🈑【広範囲で警報級大雨か 関東で通勤通学直撃も▽家庭で出来る備えとは】,▽広範囲で警報級大雨か…関東で通勤通学直撃も▽各地の大雨ピークいつ？”迷走”台風影響で大雨長期化も▽家庭で出来る備えとは
札幌,1 HBC,2026-09-07,13:55,ゴゴスマ,様々な事が起こる平日の午後、あらゆるジャンルの関心事を「生」にこだわってMC石井亮次がわかりやすくお届け！
札幌,1 HBC,2026-09-07,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-09-07,16:50,今日ドキッ！🈢【引き継がれる思い出たち…子ども自転車500円！リアルフリマに密着】,津波第1波まで41分線路横断で避難すると…▽京極農業法人虐待かミャンマー人が新証言▽IR誘致どうなる？▽電話で参加♪賞金当たる「ランクイ〜ン」
札幌,1 HBC,2026-09-07,19:00,CDTVライブ！ライブ！★EBiDAN「Yes! 東京」★福山雅治★ストーンズ🈑🈓,★T.M.Revolution「HOT LIMIT」★AKB48★絢香★CORTIS★PSYCHIC FEVER★JUJU
札幌,1 HBC,2026-09-07,20:55,テレビ×ミセス★ミセスの休日inLAに密着！名門校に藤澤・若井サプライズ訪問！🈑,Mrs. GREEN APPLEが様々なものとコラボするコラボバラエティ★LAを楽しみつくすミセスの貴重な瞬間をお届け！★大波乱？チョコプラらと大人しりとり対戦
札幌,1 HBC,2026-09-07,22:00,プロフェッショナルランキング★迷ったらこれを買え！プロ御用達ランキング★🈑,その道を極めたプロが実際に愛用する【プロ御用達ランキング】を大発表！★コスメ・DAISOお掃除グッズ・レトルトカレー・冷凍麺・iPhone標準機能・ロケ弁・快眠
札幌,1 HBC,2026-09-07,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-09-07,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-09-07,05:30,しあわせ気分のイタリア語（22）職人の伝統の技にふれる,使うとしあわせな気分になれるイタリア語の表現を楽しく学べる講座。美しいトスカーナの映像や文化特集が盛りだくさんです。
札幌,2 NHKEテレ..,2026-09-07,05:50,浮世絵EDO－LIFE 江戸の“夏フェス”！？ 広重の“二十六夜待ち”🈑,今回は江戸の夏のオールナイトイベント！品川高輪の海辺に、江戸っ子がこぞって見物に出かけた。すし、そば、天ぷらなどの屋台が並び、芸者や芸人も。この大騒ぎの目的は？
札幌,2 NHKEテレ..,2026-09-07,05:55,美の壺 選「豊かな輝き 金工」🈑,2000年以上の歴史を誇る日本の金属工芸の技。鍛金、鋳金、彫金、自由で豊かな金工の世界へご案内。手作りのカトラリー、人間国宝の雄大な花器、繊細な銀細工など登場！
札幌,2 NHKEテレ..,2026-09-07,06:25,テレビ体操🈑,【出演】岡本美佳，吉江晴菜，福島波奈，新井庸太，森山雅斗，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-09-07,06:35,みんなのうた「はじめての僕デス」／「passion」,放送開始65年企画！「はじめての僕デス」うた：宮本浩次（1976年）／「passion」うた：宮本浩次（2021年）
札幌,2 NHKEテレ..,2026-09-07,06:40,プチプチ・アニメ リコラ「森のともだちリコラ」,リコラは、小枝や木の実、ボトルのふたやあきかんで、なんでも作っちゃう森の元気なおともだち。ほら、きこえてきたよ！ギコギコ！トン！カン！今日はどこへおでかけかな？
札幌,2 NHKEテレ..,2026-09-07,06:45,ピタゴラスイッチ ▽なんのプログラム？ ▽ソセジ🈑,今回は「なんのプログラム？」「そこで橋は考えた」「ソセジ」「まきじゃくのジャック」ほか。
札幌,2 NHKEテレ..,2026-09-07,06:55,Eテレ0655 月曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-09-07,07:00,The Wakey Show 三重スペシャルWEEK（1）🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-09-07,07:20,アニメ はなかっぱ「やまびこ放課後ルーム」「はなかっぱ、用意はできてる？」🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
札幌,2 NHKEテレ..,2026-09-07,07:30,みいつけた！ 月曜日🈑,4歳ごろから楽しみながら学べる教育的エンターテインメント番組。友達と遊ぶ楽しさ、命の不思議、できる喜び等さまざまな「発見」を通して楽しむことができる番組です。
札幌,2 NHKEテレ..,2026-09-07,07:45,おかあさんといっしょ 月曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-09-07,08:10,いないいないばあっ！ 月曜日🈑,海のお話がたくさん。ワンワンとおうちゃんは、海の中をお魚さんとお散歩。ぽぅぽは浜辺でのんびり。あれ？番組最後に、犬山ワン太郎さんのニュースが。なになに？
札幌,2 NHKEテレ..,2026-09-07,08:25,アニメ おじゃる丸「見知らぬ星に星野がひとり」🈑,千年前のヘイアンチョウから月光町にやってきたおじゃる丸が、小学生のカズマや町の人々、あとを追ってきた子鬼（おに）たちとゆかいな騒動（そうどう）をまきおこします。
札幌,2 NHKEテレ..,2026-09-07,08:35,にほんごであそぼ「祭り」🈑🈓,書道で学ぶにほんご（青柳美扇）・名文たかし（齋藤孝）・立体紙切り（辻笙）／祭り、朗読（津田健次郎）、かぞエール、漢字カードバトル、うた「へのへの横町」
札幌,2 NHKEテレ..,2026-09-07,08:45,ミニアニメ チキップダンサーズ「むくむくドンドン」,椅子に座って牛乳を飲むつむぎちゃんを、うらやましそうに眺めるほねチキン。そんなある日、目がさめるとほねチキンの体がつむぎちゃんと同じくらいの大きさになっていて…
札幌,2 NHKEテレ..,2026-09-07,08:50,てれび絵本「ペンギンたんけんたい」（1）🈑,50人乗りのカヌーにのって、南の島にペンギンたちのたんけんたいがやってきました。はたしてこのペンギンたちは何をしにやって来たのでしょう？
札幌,2 NHKEテレ..,2026-09-07,08:55,みんなのうた「Umm」／「あっ！」,「Umm」うた：sumika、アニメ：かずきおえかき／「あっ！」うた：YONA YONA WEEKENDERS、アニメ：いよりさき
札幌,2 NHKEテレ..,2026-09-07,09:00,すたあと「みぎひだりであそぼう」🈖🈑,新しく学校生活をスタートする小学1年生をサポートする番組。今回は、みぎひだりゲーム。体を左右に動かして遊ぶことで緊張がほぐれ、左右の方向感覚もわかってくる。
