放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-07-27,04:05,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-07-27,05:20,THE TIME，🈑🈓天気急変！都内でゲリラ雷雨＆停電も…猛暑続く夏今後は,「VIVANT」堺雅人に密着！注目の撮影秘話に迫る▽安青錦「巴戦」制し3度目V▽水難事故「溺れた時は浮いて待つ」▽人気集める大学博物館▽外国人の車の事故多発
札幌,1 HBC,2026-07-27,08:00,ラヴィット！永尾柚乃プレゼンツUSJツアーにぼる塾熱狂＆俺の好きなモノ普及委員会🈑,"▼久々にスタジオを飛び出し、ぼる塾がほぼ初体験のUSJでロケ！
▼自分だけが良さを知っている「俺の好きなモノ」を紹介
▼進化している自由研究キット、これっ..."
札幌,1 HBC,2026-07-27,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-07-27,10:25,ひるおび🈑,日本そして世界のニュースの「真相、裏側」をスタジオから3時間半生放送 恵俊彰があなたの「知りたい」にとことん迫る！その道のプロとどこよりも深く詳しく徹底分析！
札幌,1 HBC,2026-07-27,11:20,3分クッキング🈑【手作り寒天のフルーツポンチ】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-07-27,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-07-27,11:55,ひるおび🈑,日本そして世界のニュースの「真相、裏側」をスタジオから3時間半生放送 恵俊彰があなたの「知りたい」にとことん迫る！その道のプロとどこよりも深く詳しく徹底分析！
札幌,1 HBC,2026-07-27,13:55,ゴゴスマ,様々な事が起こる平日の午後、あらゆるジャンルの関心事を「生」にこだわってMC石井亮次がわかりやすくお届け！
札幌,1 HBC,2026-07-27,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-07-27,16:50,今日ドキッ！🈢【夏の風物詩！札幌競馬女性ファン魅了のワケ▽週末F戦を鶴岡解説】,夜空に咲く大輪の花を高校生演出▽戦争の国から来た孫…日本でも忍び寄る陰は▽子どもがフリマ店長！楽しくお金の価値学ぶ▽電話で参加♪賞金当たる「ランクイ〜ン」
札幌,1 HBC,2026-07-27,19:00,最前線！密着警察24時＆追跡24時 4時間合体SP▽すすきので泥酔女性が迷惑トラブル🈑,"全国の警察活動のリアルな現場に完全密着！日々発生する犯罪の検挙・逮捕の知られざる瞬間を激撮！
日常に潜む事件やトラブルの当事者を徹底追跡しその真実に迫る！"
札幌,1 HBC,2026-07-27,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-07-27,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,1 HBC,2026-07-27,23:56,コンサドーレイズム,サッカーJ2・北海道コンサドーレ札幌応援番組▽リーグ最新情報や選手監督の素顔に迫るインタビューも▽HBCが“コンサドーレのいま”に迫る
札幌,1 HBC,2026-07-27,23:59,タイトル未定のパキラっしゅ★シーズン2,エゴサ事情や特典会、ライブ直前のルーティーンなどアイドルならではのリアルな本音を自作の歌詞に乗せて歌唱！僕青から金澤＆工藤参戦♪グループを越えた共感トークも！
