放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-07,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-07,05:20,THE TIME，🈑🈓VIVANT♯13先出し映像 生出演アリ役・山中崇さんに考察直撃,“ダブル台風”直撃か進路は▽“物価高の夏休み”お得な子ども支援▽なぜ物資が届かない？▽宇野昌磨&本田真凜ペアに密着▽ガス爆発なぜ起きた？▽直撃Ado新曲ウラ話
札幌,1 HBC,2026-08-07,08:00,ラヴィット！永尾柚乃プレゼンツ！納涼妖怪クイズ＆レゴで作っているのは何でSHOW,▼祝！全曜日制覇！永尾柚乃スペシャル企画！夏にぴったり！納涼妖怪クイズ▼レゴで作っているのはなんでSHOW▼新企画！テーマを当てろ！ビリビリ川柳伝言ゲーム！🈑
札幌,1 HBC,2026-08-07,09:55,IMP．佐藤新のベタな旅人トラベター▽小樽＆千歳編！絶品のサケたっぷり巨大丼🈞,北海道のベタ観光地“小樽”では、名物の熱々あんかけ焼きそばを味わい、ミッションでは「八角」を探しに商店街に！千歳の道の駅では、お土産ランキングを大調査！
札幌,1 HBC,2026-08-07,10:25,ひるおび【20年ぶりに復活！令和の「亭主改造計画」＆あなたをいたわる天気痛予報】🈑,キャラTシャツのパパがプロの技で“大人イケメン”に劇的変身！家族は涙!?▼頭痛・肩こり…体調不良は天気のせい？あなたをいたわる天気痛予報▼最新ニュースランキング
札幌,1 HBC,2026-08-07,11:20,3分クッキング🈑【いんげんと豚肉のナンプラー炒め】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-07,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-08-07,11:55,ひるおび🈑ダブル台風が列島直撃か13号は猛烈な風で沖縄に最接近15号はお盆に東日本へ,あすからお盆休みスタート中央道最大45キロ渋滞予想も猛暑でタイヤバースト・車中熱中症にも警戒…車中を快適に過ごすには？熊本地震から10日子どもやペット支援...
札幌,1 HBC,2026-08-07,13:55,ゴゴスマ,ダブル台風 きょう13号沖縄直撃か 速報！現地の状況は？お盆は15号が東日本へ 列島直撃！？影響は…▼全国的にゲリラ雷雨か 🈀(予定)
札幌,1 HBC,2026-08-07,15:49,Nスタ【江別の20歳集団暴行死“主犯格”の男に判決】🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-08-07,16:50,今日ドキッ！🈢【買い物客が人生を語る！山盛りの漬物食べる夫と減塩を支える妻】,買い物から人生！漬物大好き夫と減塩を支える妻▽江別大学生強盗致死…判決を元裁判官解説▽小樽で特別な夏祭り▽週末イベント天気予報！▽賞金が当たる「ランクイ〜ン」
札幌,1 HBC,2026-08-07,19:00,ハマダ歌謡祭！浜田参戦SP★ISSA&Toshl最強歌手軍vs樹ジェシー歌謡祭軍,浜ちゃん＆SixTONES樹がKinKi「夏の王様」ISSA＆Toshlがチャゲアス豪華コラボ！話題の歌姫BON.井上が安室奈美恵！タモリがGACKT熱唱！？🈑
札幌,1 HBC,2026-08-07,20:55,ドア×ドアクエスト☆日曜劇場VIVANT最新12話名シーン裏側＆アイス工場クイズ🈑,大雨で撮影できない!?堺雅人が海外ロケで大ピンチ!?＆ドラムが餅に悪戦苦闘▼猛暑の今食べたい！国民的アイス何作ってる？▼SixTONES髙地ラーメン企画に新展開
札幌,1 HBC,2026-08-07,22:00,金曜ドラマ「Tシャツが乾くまで」第5話 誰にも迷惑かけないなら🈖🈑,"主演：蒼井優×脚本：生方美久×主題歌：スピッツ×共演：中島歩・高橋文哉・夏帆・松山ケンイチ
とある事故に巻き込まれた二組の夫婦の“愛”と“秘密”の物語"
札幌,1 HBC,2026-08-07,22:54,グッチーな！ミニ,土曜お昼の「グッチーな！」のミニサイズ版。グッチーと森結有花アナウンサーが120秒間で話題のエンタメや新商品の情報をコンパクトに伝えます。
札幌,1 HBC,2026-08-07,23:00,A－Studio＋【瀬戸康史】キムラ緑子に取材！俳優としての転機＆パパの顔🈖🈑,▽転機となった演出家・白井晃との出会い▽キムラ緑子が絶賛する俳優としての才能と人柄▽俳優仲間・スチール哲平＆前原滉が語る“子どもっぽい一面”と“パパの顔”
札幌,1 HBC,2026-08-07,23:30,ララLIFE 檀れい、憧れの作家さんとステンドグラス作り🈑,"【MC】三村マサカズ（さまぁ〜ず）青木崇高
数年前、とあるステンドグラス作品に一目惚れし、購入した檀さん
今回、そんな憧れの作家さんと本格的なランプを作ります"
札幌,1 HBC,2026-08-07,23:58,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,2 NHKEテレ..,2026-08-07,05:30,中国語！ナビ（18）はい・いいえで答える疑問文／ふなっしー登場！（2）,求める答えが「はい」か「いいえ」になる是非疑問文を学習▽とっておき動詞！50▽剛力彩芽劇場▽前回に続いて、ふなっしーさんがスタジオに！剛力さんと語学カルタ対決！
札幌,2 NHKEテレ..,2026-08-07,05:50,ハングルッ！ナビ（18）ここで もう少しだけ休んでもいいですか？,ミセス若井滉斗とハングルを学ぼう！文字や発音の基礎から実用的なフレーズまで、言葉に込められたニュアンスや文化も味わいながら学習！Kカルチャー満載でお届け。
札幌,2 NHKEテレ..,2026-08-07,06:10,きょうの健康 これで解消！耳の不快な症状「耳鳴り」🈖🈑🈞,一日中不快な音が聞こえる耳鳴り。耳鳴りが起こる仕組みを理解して患者の不安を取り除く「教育的カウンセリング」や補聴器を活用する方法など、最新の耳鳴り対策を紹介。
札幌,2 NHKEテレ..,2026-08-07,06:25,テレビ体操🈑,【出演】鈴木大輔，吉江晴菜，我喜屋佑衣，杉井勇介，森山雅斗，【ピアノ】細貝柊
札幌,2 NHKEテレ..,2026-08-07,06:35,みんなのうた「コンピューターおばあちゃん」／「キャベツUFO」,80年代／「コンピューターおばあちゃん」うた：東京放送児童合唱団（酒井司優子）（1981年）／「キャベツUFO」うた：工藤順子（1984年）
札幌,2 NHKEテレ..,2026-08-07,06:40,プチプチ・アニメ ぽぽりす＆フレンズ「ちいさなおきゃくさま」,ぽぽりすのお店は、森のなかまがあつまる人気のカフェ。あたたかいお茶とおいしいスイーツでおもてなし。ここでは、うれしいことや困ったこともみんなで分かち合います。
札幌,2 NHKEテレ..,2026-08-07,06:45,ピタゴラスイッチ▽目ヂカラあるぞう うんていの真実を見抜くの巻🈑,「目ヂカラあるぞう」が登場。学校の校庭の「うんてい」にかくされた、ある真実を見抜く。ほかに「10本アニメ タイムマシン」「でじでじタイルじん」など。
札幌,2 NHKEテレ..,2026-08-07,06:55,Eテレ0655 金曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-08-07,07:00,The Wakey Show ベストセレクション🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-08-07,07:20,アニメ はなかっぱ「キンピカ王国 前編」「キンピカ王国 後編」🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
札幌,2 NHKEテレ..,2026-08-07,07:30,みいつけた！ 金曜日🈑,4歳ごろから楽しみながら学べる教育的エンターテインメント番組。友達と遊ぶ楽しさ、命の不思議、できる喜び等さまざまな「発見」を通して楽しむことができる番組です。
札幌,2 NHKEテレ..,2026-08-07,07:45,おかあさんといっしょ 金曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-08-07,08:10,いないいないばあっ！ 金曜日🈑,夏をたのしむぞ！花火をしたり、やきそばをつくったり、お祭りにいったり・・・。歌もたくさん！▼うた「ワンワンパラダイス」、「バンバンザイ」など。
札幌,2 NHKEテレ..,2026-08-07,08:25,ミミクリーズ「いと」🈖🈑,「ミミクリー（mimicry）」それは「似せること」または「似ているもの」という意味です。自然のなかのソックリさん＝「ミミクリー」をさがしてみよう！
札幌,2 NHKEテレ..,2026-08-07,08:35,あおきいろ 10分版 その100🈖🈑,「あお」と「きいろ」2つはあきらかに違うけど、重なりあうと「みどり」になる。多様な個性と共に生きるための「共生マインド」を育む子ども番組です。
