放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-20,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-20,05:20,THE TIME，🈑🈓被災地に勇気！有明ナイン凱旋に町は歓喜▽千葉豪雨示した危険,史上最強「スーパーエルニーニョ」で12月にも台風？▽井の頭公園の池に異変▽おいしく科学を学ぶ！「食べられるじっけん」▽なぜ人気？ゴッホ売れ▽松村北斗＆今田美桜！
札幌,1 HBC,2026-08-20,08:00,ラヴィット！なぞかけ穴埋めクイズ＆小手伸也&和田正人とベストファーザー選手権！🈑,名バイプレイヤーの小手伸也&和田正人が参戦！誰が一番良いパパかを競う「ベストファーザー選手権」を開催！▼ねづっち監修！解けたら超スッキリ！なぞかけ穴埋めクイズ！
札幌,1 HBC,2026-08-20,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-20,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-08-20,11:20,3分クッキング🈑【鶏肉と冬瓜の南蛮煮】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-20,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-08-20,11:55,ひるおび🈑台風18号列島へ影響は夏のインフル増加なぜ▽千葉豪雨車両撤収は,台風18号列島へ影響は夏のインフル増加なぜ▽千葉豪雨車両撤収は善意つけこむ詐欺被害▽群馬パスポート人気
札幌,1 HBC,2026-08-20,13:55,ゴゴスマ,熱中症警戒 熊本では体温超え猛暑▼台風18号最新進路 来週は台風の影響注意▼千葉豪雨から1週間▼鹿児島夏のオススメ 🈀(予定)
札幌,1 HBC,2026-08-20,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-08-20,16:50,今日ドキッ！🈢【小樽市民が愛する「ソース焼きそば」の駅前の老舗…格安で満腹！】,絶景満喫のベタ旅へ…透明度抜群！神秘の支笏湖▽詐欺か？驚きの手口！道警捜査員名乗る電話▽全国のやきとりが集結！室蘭で今週末にフェス▽夏休み最後の週末の天気は？
札幌,1 HBC,2026-08-20,19:00,ニンゲン観察モニタリング3時間SP★透明カラオケin北海道！歌うま挑戦者続々登場！🈑,透明カラオケBOX in 北海道！元モー娘。リーダーがあの名曲披露＆元Whiteberryが夏祭り熱唱！バド桃田＆ハリセンはるかがダブルス結成！変装して町...
札幌,1 HBC,2026-08-20,21:50,櫻井・有吉THE夜会🈑「VIVANT」に差し入れ・高島礼子の真夜中散歩,"「VIVANT」の現場に夜会お馴染みの料理人たちが差し入れ！
高島礼子は真夜中散歩で食べ尽くし！Travis Japan松倉海斗が人生初のアルバイト！"
札幌,1 HBC,2026-08-20,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-20,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,1 HBC,2026-08-20,23:56,スーパーの裏でヤニ吸うふたり ♯7🈑,7本目「スーパーの裏と夏の終わり」
