放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-23,04:45,ライフライン ダメな子はいない！〜子どもの可能性と輝きを信じて〜,埼玉県狭山市で個別の学習支援教室「ジョイスタディー」を主宰する大澤和子さんを紹介します。
札幌,1 HBC,2026-08-23,05:15,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-23,05:45,日本のチカラ 家庭科室の朝ごはんやさん🈑,大阪市立西淡路小学校の「朝ごはんやさん」。小学校の家庭科室で、週3日、家庭の負担は1食たったの50円。近所の女性たちがボランティアで朝ごはんを作っています。
札幌,1 HBC,2026-08-23,06:15,ハイグレードS,北のハイグレード食品を紹介する「ハイグレードS」商品はHBCショップで限定販売中！
札幌,1 HBC,2026-08-23,06:30,北海道ZOOキーパーズ〜世界一近い！動物の素顔〜🈞,世界中の生き物たちに出会える動物園がもっと面白く！その素顔を誰よりも近くで知る飼育員＝ZOOキーパーの目線から動物本来の生態や今直面している環境に注目します。
札幌,1 HBC,2026-08-23,06:45,JNNニュース🈐,最新のニュースをお伝えします。
札幌,1 HBC,2026-08-23,07:00,健康カプセル！ゲンキの時間🈖🈑【原因は腰じゃない！？ 繰り返す腰痛の意外な犯人】,日常生活に支障をきたし、多くの方が抱える悩み「腰痛」。腰痛を引き起こすダメな身体の使い方や、繰り返す腰痛の意外な犯人、超簡単ストレッチなどを教えてもらいます。
札幌,1 HBC,2026-08-23,07:30,がっちりマンデー‼いま最高益！ぴあ幸楽苑！ブックオフ復活の鍵はアニメとコスプレ⁉,🈑ピンチを乗り越えて過去最高益を達成した企業！ラーメンチェーン幸楽苑を立て直した謎の人物！ブックオフは店舗の個性を磨いて大復活⁉ぴあはもうチケットだけじゃない⁉
札幌,1 HBC,2026-08-23,08:00,サンデーモーニング🈑千葉豪雨の“想定外”▽日本人トップを制裁トランプ氏恐れるICC,福岡“県政のドン”辞職めぐり新展開…力の源泉「ワンヘルス」とは▽千葉豪雨の“想定外”…なぜ車3000台水没？なぜマンションで停電続く？▽トランプ氏北朝鮮に...
札幌,1 HBC,2026-08-23,09:54,サンデー・ジャポン 成田悠輔＆太蔵が分析「高市X」連続投稿▽ニコル出産後初TV！,“高市X”連続投稿！「物価高対策」を強調…成田悠輔＆杉村太蔵が分析▽真夏の事件簿・クレカ窃盗▽夏休み“子ども整形”▽ニコル出産後初TV▽ホリエモンが斬る
札幌,1 HBC,2026-08-23,11:23,アジア大会×VIVANT〜新たな別班候補はだれだ？〜,"9月16日放送開始『アジア大会愛知・名古屋』
今回紹介する新たな別班候補は・・・
パリ五輪で日本人初の金メダルを獲得した、“絶対女王”陸上やり投 北口榛花"
札幌,1 HBC,2026-08-23,11:29,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-23,11:35,上田晋也のサンデーQ🈑マネー白井に聞け！預貯金？国債？社債？▼豪雨被害悩む家選び,片寄涼太に寺田心らが専門家にとことん質問！千葉豪雨被害の半数以上ハザードマップ“想定区域外”▼GDP3期連続プラスでも感じる経済格差▼おもちゃ大賞に投資売...
札幌,1 HBC,2026-08-23,12:54,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-23,13:00,ジンギス談！おかわり,『THE SECOND』4代目チャンピオン「トット」が登場！王者になるまでの泥臭い軌跡に迫る。優勝後の超多忙スケジュールで起きたハプニングトークも続々！
札幌,1 HBC,2026-08-23,13:30,今日ドキッ！プラス【なぜ夏に？汗だくで鍋焼きうどんを食べる人を調査】,毎週月〜金曜ごご4:50〜7:00放送中の情報報道番組『今日ドキッ！』の傑作選！メインMCはHBCアナウンサー堀啓知と森田絹子
札幌,1 HBC,2026-08-23,14:00,それって実際どうなの会【衝撃！バタープラスで太らない？】,世の中の気になるウマイ話を徹底検証！【料理にバタープラスで太らない？衝撃のウワサ〜ザ・たっち双子検証】
札幌,1 HBC,2026-08-23,15:00,トーキング千鳥★千鳥VS話題の有名人10名！㊙価値観しゃべり倒す60分🈑,アイナ・ジ・エンド・中谷潤人・ジェシー・M!LK曽野・モナキおヨネ…上半期大忙し有名人が大集合SP！忙しすぎてやってしまった大失敗！意外すぎ㊙私生活に千鳥爆笑！
札幌,1 HBC,2026-08-23,16:00,NEXT－GENERATION,〜北海道から未来を作る若者たち〜自転車競技で世界一に 函館で育ったスピードスター 中石湊（21）に密着
札幌,1 HBC,2026-08-23,16:12,北海道ZOOキーパーズ〜世界一近い！動物の素顔〜,世界中の生き物たちに出会える動物園がもっと面白く！その素顔を誰よりも近くで知る飼育員＝ZOOキーパーの目線から動物本来の生態や今直面している環境に注目します。
札幌,1 HBC,2026-08-23,16:24,サッポロスマイル,「笑顔になれる街」札幌。街なかにある笑顔を探しながら、その笑顔の源を見つける旅に出かける番組です。
