放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-08-03,04:05,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-03,05:20,THE TIME，🈑🈓初の“災害関連死”か…車中泊の70代女性死亡 熱中症の疑い,川口春奈さん板倉滉選手と結婚を発表！妊娠も▽独占！二宮和也×村竹ラシッド▽地震で相次ぐ「デマ情報」悪質詐欺も▽バレー男子がメダル挑戦！▽松村北斗＆今田美桜 ！
札幌,1 HBC,2026-08-03,08:00,ラヴィット！VIVANT山中崇参戦！人気お菓子続々！お菓子クイズ王者丸山に挑む🈑,"▼誰もが見たことのあるお菓子が大集合！クイズグランプリ開催
▼ラヴィット！ファミリーの超かわいい間違い探しがビリビリ早押しに進化
▼エルフ荒川＆山中崇が登場"
札幌,1 HBC,2026-08-03,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-08-03,10:25,ひるおび🈑,あなたを“いたわる”1時間！天気痛・家事の裏ワザ・明日行きたいイベント情報…毎日忙しいあなたをちょっと笑顔にする情報にこだわってお届けします▼復活！亭主改造計画
札幌,1 HBC,2026-08-03,11:20,3分クッキング🈑【夏野菜のフリッタータ】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-08-03,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-08-03,11:55,ひるおび🈑,その日一番の気になるニュースをかみ砕いて解説 生放送ならではの筋書きのない展開で恵俊彰があなたの“知りたい”に全力で応えます！！
札幌,1 HBC,2026-08-03,13:55,ゴゴスマ,様々な事が起こる平日の午後、あらゆるジャンルの関心事を「生」にこだわってMC石井亮次がわかりやすくお届け！
札幌,1 HBC,2026-08-03,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-08-03,16:50,今日ドキッ！🈢【新企画！走った分だけお金が貯まる！稼いで極上のラーメンを探せ！】,夏休みで困る保護者…物価高で食事支援は？▽自動運転技術最前線・ロボタクとは？▽今週の気温・天気はどうなる？児玉予報士解説▽電話で参加♪賞金当たる「ランクイ〜ン」
札幌,1 HBC,2026-08-03,19:00,CDTVライブ！ライブ！★ILLIT「It’s Me」★EBiDAN★＝LOVE🈑🈓,★Da-iCE★SUPER EIGHT★優里★AKB48★STARGLOW★ME:I
札幌,1 HBC,2026-08-03,20:55,テレビ×ミセス★LAレッドカーペット密着＆松山ケンイチ・高橋文哉ツッパリ勝負🈑,★ミセスが番組初の海外ロケに！★ワールドプレミアでミセスに無茶振りミッション発動！★ソニー・ピクチャーズ・スタジオ特別潜入も ★豪華俳優と根性試しの4番勝負！
札幌,1 HBC,2026-08-03,22:00,クレイジージャーニー☆西表島・水上に咲く奇跡の花園＆ゴンザレスがガラパゴスへ！🈑,世界遺産・西表島で「1年間に1時間しか見られない」水上の花園を追う！予想外の光景に設楽小池過去一の感動！▽ゴンザレスが人気観光地のガラパゴス諸島の闇に迫る
札幌,1 HBC,2026-08-03,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-08-03,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,1 HBC,2026-08-03,23:56,コンサドーレイズム,サッカーJ2・北海道コンサドーレ札幌応援番組▽リーグ最新情報や選手監督の素顔に迫るインタビューも▽HBCが“コンサドーレのいま”に迫る
札幌,1 HBC,2026-08-03,23:59,タイトル未定のパキラっしゅ★シーズン2,【限界突破】タイトル未定が「喜怒哀楽」を即興ダンスを披露！プロのガチ審査で絶品スイーツを懸けた戦いを制するのは誰だ！？
札幌,2 NHKEテレ..,2026-08-03,05:30,しあわせ気分のイタリア語（18）美しい町を散策する,使うとしあわせな気分になれるイタリア語の表現を楽しく学べる講座。美しいトスカーナの映像や文化特集が盛りだくさんです。
札幌,2 NHKEテレ..,2026-08-03,05:50,浮世絵EDO−LIFE 豊臣兄弟！コラボ 秀吉が餅つき！？信長・光秀・家康も🈑,今回は、なぜか武者達が餅つきしている浮世絵。その中に猿の顔をした秀吉が。本能寺の変で争った信長、光秀も仲良くぺったんこ。そして家康までいる。一体、どういうこと？
札幌,2 NHKEテレ..,2026-08-03,05:55,美の壺 選「小さな芸術 干菓子」🈑,上品な味で、古くから愛されてきた「干菓子」。宝石箱のような詰め合わせから、茶席での趣向、和三盆糖で作るポップな最新作まで…。干菓子の奥深き世界に迫る！
札幌,2 NHKEテレ..,2026-08-03,06:25,テレビ体操🈑,【出演】岡本美佳，吉江晴菜，福島波奈，新井庸太，森山雅斗，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-08-03,06:35,みんなのうた「はじめての僕デス」／「passion」,放送開始65年企画！「はじめての僕デス」うた：宮本浩次（1976年）／「passion」うた：宮本浩次（2021年）
札幌,2 NHKEテレ..,2026-08-03,06:40,プチプチ・アニメ こにぎりくん「スーパーマシン？」,三角ボディにごま塩頭、元気なおにぎりの男の子、こにぎりくん。お友達のケロッケやペットのブロッコリーと、今日は何をして遊ぼうかな？
札幌,2 NHKEテレ..,2026-08-03,06:45,ピタゴラスイッチ▽宇宙装置 ▽だれじん ▽つながりうた もりのおく🈑,世の中の仕組みや構造、考え方を、ピタゴラ風のユニークな見方で伝えます。今回は「宇宙ピタゴラ装置」「だれじん」「つながりうた もりのおく」ほか。
札幌,2 NHKEテレ..,2026-08-03,06:55,Eテレ0655 月曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-08-03,07:00,The Wakey Show ベストセレクション🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-08-03,07:20,アニメ はなかっぱ「電気かじり猫のニャンタロ」「なないろ はなかっぱ」🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
札幌,2 NHKEテレ..,2026-08-03,07:30,みいつけた！ 月曜日🈑,4歳ごろから楽しみながら学べる教育的エンターテインメント番組。友達と遊ぶ楽しさ、命の不思議、できる喜び等さまざまな「発見」を通して楽しむことができる番組です。
札幌,2 NHKEテレ..,2026-08-03,07:45,おかあさんといっしょ 月曜日🈑,2歳ごろから楽しめる教育エンターテインメント番組。歌・体操・人形劇・アニメなど楽しいコーナーがいっぱい！幼児の情緒や表現、言葉や身体の成長を応援します。
札幌,2 NHKEテレ..,2026-08-03,08:10,いないいないばあっ！ 月曜日🈑,「ねこねこしゃんしゃん」、「かんぱーい！！」、「ブルンブルンバン！」。たくさん歌をうたうよ。みんなも踊ってね。▼ピカピカブ〜！、▼童謡「きんぎょのひるね」など。
札幌,2 NHKEテレ..,2026-08-03,08:25,アニメ おじゃる丸「脱ぎたいアオベエ」🈑,千年前のヘイアンチョウから月光町にやってきたおじゃる丸が、小学生のカズマや町の人々、あとを追ってきた子鬼（おに）たちとゆかいな騒動（そうどう）をまきおこします。
札幌,2 NHKEテレ..,2026-08-03,08:35,にほんごであそぼ「暑さ」🈑🈓,書道で学ぶにほんご（青柳美扇）・立体紙切り（辻笙）・ぐうたらちんたら／暑さ、朗読（津田健次郎）、かぞエール、漢字カードバトル、うた「JUMP」
札幌,2 NHKEテレ..,2026-08-03,08:45,ミニアニメ チキップダンサーズ「ぷゆっとしぼってプン」,つむぎちゃんが作ったホールケーキ。ケーキを上から見たいと、水と油のようせいに持ち上げてもらうほねチキン。ところがあやまって落ちてしまい、ケーキがぐちゃぐちゃに…
札幌,2 NHKEテレ..,2026-08-03,08:50,てれび絵本「いいからいいから」（1）🈑,「いいから いいから」が口ぐせのおじいちゃん。ある日、気がつくと、目の前に雷の親子がすわっていた…。
札幌,2 NHKEテレ..,2026-08-03,08:55,みんなのうた「Umm」／「あっ！」,「Umm」うた：sumika、アニメ：かずきおえかき／「あっ！」うた：YONA YONA WEEKENDERS、アニメ：いよりさき
